,,0,0,3,0,1,1,0,2,0,0,4,2,3,0,1,0,0,1,3,3,1,1,1,0,1,0,3,2,4,0,0,1,0,2,1,1,2,0,1,3,1,1,0,1,3,1,6,2,0,0,1,2,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
RBR,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
adjective,2,2,3,3,0,3,0,0,4,2,4,1,6,1,1,1,0,1,1,4,1,3,1,0,3,5,3,3,2,1,2,2,0,5,4,0,0,1,2,2,2,1,3,1,2,1,5,1,1,0,0,2,0
adverb,0,1,0,1,1,1,0,1,4,3,6,0,2,0,0,0,0,2,2,3,5,2,1,0,2,4,1,1,5,0,0,3,1,1,2,0,7,0,2,3,0,0,1,2,1,0,2,2,2,2,1,4,0
article,2,3,5,0,1,4,2,1,5,3,3,3,8,5,3,4,1,2,3,2,5,5,4,1,4,7,6,6,8,0,3,2,2,4,4,2,1,3,7,1,2,3,3,2,2,4,10,1,1,2,0,1,0
conjunction,2,2,11,3,2,5,1,6,4,2,9,6,15,6,3,4,0,3,9,10,7,9,5,2,3,13,6,7,4,0,5,1,0,8,7,3,4,2,7,5,4,0,3,3,6,2,11,0,0,0,1,2,0
noun,3,9,17,2,3,8,2,7,6,5,12,9,18,7,3,5,3,4,13,7,8,12,5,3,8,13,9,7,14,1,7,4,1,14,12,4,3,3,14,7,5,4,5,4,9,4,16,2,1,3,4,5,1
numeral,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
other,0,0,0,0,0,0,0,2,1,0,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,1,0,2,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,2,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,0,0,0,0,0,1,0,3,1,1,2,2,2,2,2,0,0,0,2,3,0,1,1,0,1,0,2,2,0,2,2,2,0,0,4,0,3,0,3,1,1,2,0,2,4,0,1,0,1,0,0,3,0
verb,1,6,4,1,1,4,0,3,5,4,10,7,5,4,4,2,1,2,6,9,4,3,2,2,3,8,6,4,7,2,4,1,2,2,8,3,6,3,5,4,2,6,1,5,11,3,7,2,3,4,0,7,0
