,,1,3,3,0,1,2,0,0,0,0,4,3,4,0,0,0,0,1,1,3,1,1,2,3,0,0,1,3,1,3,1,1,1,1,3,1,2,0,1,5,1,0,1,1,0,1,0,1,0,0,0,1,2,3,2,1,1,0,2,1,0,0,3,1,1,0,0,0
-LRB-,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,2,0,0,1,0,2,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
adjective,2,3,5,3,7,7,0,2,4,0,6,0,7,6,0,1,2,1,0,1,4,3,1,3,0,0,6,4,2,4,2,1,1,0,5,2,2,1,0,7,2,3,1,3,1,2,0,3,2,2,4,2,2,2,4,0,1,1,3,2,1,0,3,0,1,2,3,0
adverb,2,3,2,1,3,3,0,0,1,0,4,3,3,0,0,0,0,1,1,4,3,3,4,3,0,1,1,1,0,0,2,1,0,2,2,1,2,1,3,1,1,1,0,0,1,4,0,2,2,2,1,1,1,1,2,3,2,0,0,0,4,1,0,2,0,3,0,0
article,5,2,5,3,0,4,1,1,1,1,3,2,5,6,0,1,0,1,2,0,5,5,2,3,0,0,1,6,1,3,3,0,2,0,2,3,4,1,3,3,3,2,2,0,3,4,2,3,0,2,2,0,4,0,6,0,2,4,3,1,1,0,4,1,3,1,1,0
conjunction,5,13,7,6,7,8,0,2,2,1,8,7,6,8,1,1,2,2,2,2,10,8,2,6,0,1,1,9,2,2,3,5,2,3,7,5,7,3,1,7,5,4,2,4,2,3,4,5,1,5,8,6,3,4,7,1,6,7,4,1,5,0,5,6,4,5,2,0
noun,10,19,7,8,7,16,1,2,4,1,13,17,13,12,2,1,4,2,5,3,15,11,6,11,1,1,7,12,4,6,3,9,3,4,12,6,12,5,4,10,5,8,3,6,4,6,6,7,2,9,7,5,8,5,12,2,6,7,6,4,5,2,14,9,7,8,4,0
numeral,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,2,0,0,0
other,0,2,1,1,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,1,0,3,2,1,1,1,1,0,0,0,1,1,0,2,0,0,1,1,1,0,1,1,2,0,1,0,0,2,1,1,2,2,1,2,0,0
particle,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,2,1,1,0,1,1,1,1,0,2,0,1,0,1,0,0,0,2,1,1,5,0,2,3,1,1,1,1,0,2,0,1,1,1,2,1,3,1,2,2,0,1,1,1,0,2,0,3,1,2,1,3,0,1,2,0,1,1,0,1,1,0,2,1,2,2,0,0
verb,4,6,4,2,2,3,1,1,2,1,2,1,4,5,0,0,1,3,4,7,8,5,5,7,2,2,1,3,3,7,3,6,2,3,4,5,4,3,4,4,2,3,2,2,1,4,1,4,2,4,9,4,3,5,8,2,3,4,3,1,8,2,8,8,3,3,1,0
