,,1,4,2,2,0,2,0,5,0,2,0,0,0,0,3,2,0,1,0,1,0,2,2,0,0,1,3,0,1,1,0,1,2,3,0,4,0,0,0,0,1,0,1,2,0,3,2,0,0,0,1,2,1,1,0,2,1,0,2,4,2,0
-LRB-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,0,2,0,0,1,1,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0
adjective,2,1,1,4,1,3,2,1,2,2,0,1,1,0,3,2,1,1,0,1,0,2,3,0,0,3,2,2,0,0,1,2,1,2,0,3,0,0,0,0,4,1,0,3,1,1,2,0,0,0,5,5,1,0,0,3,0,0,0,1,0,0
adverb,4,2,1,5,0,2,1,2,0,3,0,1,0,2,1,2,3,3,2,0,0,0,0,1,0,0,0,2,2,2,3,2,0,2,3,1,0,0,2,0,0,2,0,0,2,3,1,0,0,0,3,3,0,0,0,3,1,0,7,2,0,0
article,2,4,3,0,2,3,1,0,2,2,1,0,1,3,2,1,4,3,1,2,1,5,4,0,0,5,7,3,3,1,1,5,0,1,3,3,0,1,1,1,2,0,3,0,4,4,1,0,1,1,2,6,3,5,1,3,0,1,1,1,1,0
conjunction,5,10,4,3,1,6,3,3,1,3,0,2,0,3,5,8,2,4,2,2,0,4,7,0,0,4,12,4,3,4,5,2,3,1,2,7,0,1,0,1,6,1,2,1,2,7,2,1,1,0,5,9,4,4,0,4,0,2,4,4,2,0
noun,7,13,6,2,1,13,7,11,2,5,2,2,1,8,8,10,6,7,2,6,2,8,8,0,1,7,16,7,3,5,7,8,2,2,4,14,1,2,1,3,10,1,6,3,2,9,2,7,1,1,8,13,7,5,3,12,1,3,0,6,2,0
numeral,2,1,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
other,2,2,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,1,3,1,1,1,1,1,1,0,4,1,2,1,3,3,2,1,4,2,2,1,1,4,0,0,2,0,1,1,0,1,0,0,3,1,8,0,2,1,0,2,1,3,2,1,0,2,2,1,1,2,0,1,2,0,2,1,2,10,2,1,0
verb,6,10,2,1,1,5,3,6,1,7,1,2,1,5,4,4,5,5,2,5,1,4,6,0,0,2,4,2,1,2,2,4,1,5,2,7,0,2,2,0,4,1,4,2,6,2,2,4,0,0,5,4,4,5,3,6,1,3,13,4,2,0
