,,0,0,1,1,1,0,1,3,0,2,4,1,0,2,0,0,2,0,0,0,2,2,3,1,4,1,0,1,2,0,0,0,0,1,0,2,1,0,1,0,4,10,1,1,3,1,2,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
adjective,3,2,2,2,0,0,0,3,1,0,2,0,2,4,1,0,0,1,1,0,1,0,3,0,2,0,1,1,3,3,0,1,1,1,2,1,0,2,3,2,7,8,0,0,0,3,0,0
adverb,0,1,1,1,1,1,2,0,0,2,2,4,0,1,1,0,1,1,2,0,0,0,0,0,0,1,2,0,1,1,3,2,2,1,1,0,0,1,1,1,1,3,1,3,1,1,3,0
article,0,3,2,2,0,0,1,4,1,6,3,3,2,4,1,2,3,0,3,2,3,3,1,5,4,1,2,3,2,5,1,1,1,2,3,6,0,0,2,0,4,3,2,1,5,4,0,0
conjunction,1,6,3,2,1,1,2,3,1,8,3,3,3,4,3,2,4,3,3,3,1,3,2,4,0,1,3,2,1,3,4,0,1,3,4,5,0,0,5,0,7,7,4,2,2,3,3,0
noun,4,5,4,5,2,0,3,4,2,12,13,4,5,9,3,2,4,3,3,6,5,5,2,7,7,3,5,4,3,6,1,1,5,4,8,6,0,3,6,1,9,13,5,1,7,7,2,0
numeral,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
other,1,2,0,1,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
pronoun,0,4,2,0,1,3,1,2,1,3,1,1,1,1,1,1,0,2,0,0,0,2,3,1,1,0,3,2,0,0,2,1,0,0,0,0,1,0,1,0,0,0,2,0,0,2,1,0
verb,1,5,5,3,2,5,3,4,3,5,4,2,3,2,1,3,2,3,3,0,6,2,2,6,2,3,3,3,1,6,3,2,0,2,3,6,0,1,7,1,1,8,3,2,2,4,2,0
