,,3,4,0,1,0,1,3,2,1,3,1,2,2,1,3,1,1,1,2,2,0,0,2,2,2,4,3,1,1,1,3,0,4,4,0,0
.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
:,0,1,0,0,0,0,1,1,0,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0
PRP$,0,2,0,0,1,0,1,2,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,2,1,1,0,2,0,0,0,0,0
adjective,5,4,4,2,2,6,5,3,0,3,2,4,6,2,6,3,2,1,0,5,1,2,0,6,1,6,0,4,2,1,6,1,2,0,0,0
adverb,2,1,0,1,0,1,0,0,2,1,2,0,3,0,0,0,2,2,0,1,0,0,1,3,1,3,4,3,0,0,0,1,3,4,1,0
article,4,8,2,0,1,3,2,3,1,1,4,1,4,1,7,2,2,3,1,4,0,1,1,3,2,5,4,1,2,2,7,2,3,1,0,0
conjunction,5,11,3,1,3,3,3,3,1,7,3,2,7,4,2,1,5,6,3,8,1,1,1,8,7,4,2,4,3,6,14,1,1,7,2,0
noun,5,17,1,9,7,6,6,8,1,9,7,3,17,10,8,2,4,5,5,23,1,6,5,10,9,9,10,4,9,4,31,3,4,7,6,0
numeral,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0
other,0,3,1,1,0,2,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pronoun,0,2,0,0,0,1,0,0,2,1,1,1,4,1,0,0,2,1,1,2,1,0,2,0,2,0,0,1,1,1,2,1,0,5,0,0
verb,3,10,3,1,1,4,4,2,1,4,8,3,10,4,5,1,5,4,3,3,3,1,3,3,9,5,2,7,3,2,4,3,6,5,2,0
