,,0,0,0,0,1,1,0,2,4,2,3,2,5,2,0,0,2,1,1,1,0,2,1,3,2,2,1,2,2,0,3,0,0,1,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
PRP$,1,0,1,1,0,0,1,0,0,1,1,0,1,4,0,0,0,0,0,0,1,1,0,0,0,3,0,1,1,0,1,0,0,0,0
adjective,1,4,2,1,6,1,2,4,4,2,6,3,5,1,0,0,2,2,2,0,1,4,2,1,5,3,6,3,1,0,2,0,0,1,0
adverb,2,0,2,0,1,0,0,0,1,0,1,1,4,1,0,0,1,1,0,6,1,3,1,4,2,1,0,0,2,1,3,0,1,0,0
article,0,3,3,0,6,2,2,8,2,8,3,1,7,1,0,0,4,2,4,0,2,3,2,2,3,5,5,1,2,0,2,0,1,3,0
conjunction,1,6,5,1,10,3,1,7,11,7,8,5,10,6,1,0,4,4,2,1,4,5,1,9,6,6,5,9,5,0,2,1,1,2,0
noun,4,10,8,3,20,5,3,12,15,14,15,8,16,9,0,0,8,8,4,0,8,5,4,7,6,11,8,8,8,0,5,0,1,5,0
numeral,0,0,1,1,1,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
pronoun,0,0,0,0,1,1,0,0,0,1,1,3,1,1,2,0,1,1,0,0,1,2,0,8,1,1,0,0,4,2,1,3,2,2,0
verb,2,3,2,2,1,6,1,6,4,3,2,4,5,6,1,1,2,2,1,0,0,6,2,14,6,7,3,4,4,2,3,6,5,4,0
