,,0,0,1,2,3,3,6,2,0,7,0,1,2,1,1,1,2,3,2,2,4,2,1,1,1,2,0,2,1,1,0,0,1,6,0,0
-RRB-,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
PRP$,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,1,0,0,1,1,0,2,0,0,0,0,1,0,1,0,0,1,0,0
adjective,1,0,0,1,1,4,1,1,3,3,2,2,3,3,4,0,2,0,4,1,7,3,5,4,4,0,2,2,3,0,1,1,1,5,2,0
adverb,1,0,3,2,0,0,4,1,0,3,1,1,0,1,3,0,2,1,2,1,1,2,1,1,0,1,1,2,3,1,0,0,2,4,1,0
article,1,0,2,0,4,4,4,3,2,2,4,0,3,2,5,2,1,2,3,3,3,2,9,2,3,4,3,3,2,1,1,0,0,5,3,0
conjunction,1,0,5,1,3,3,7,5,0,9,3,1,4,2,7,1,4,5,1,6,6,4,11,3,1,5,3,5,2,1,1,0,3,8,2,0
noun,2,0,6,1,7,9,15,8,4,18,4,1,17,6,10,4,4,11,2,7,9,9,31,5,4,10,7,14,8,4,2,2,2,10,5,0
numeral,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
other,0,0,0,0,0,1,1,0,0,0,1,0,1,2,0,1,0,1,0,0,0,1,6,0,1,0,1,0,1,0,0,2,0,1,1,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
pronoun,2,2,2,3,0,2,3,0,0,3,2,2,1,4,2,1,1,1,1,1,0,4,0,0,0,2,1,1,3,0,0,1,2,1,1,0
verb,2,1,5,2,0,2,5,1,1,3,7,3,8,7,7,2,4,4,5,2,4,5,4,2,3,3,2,4,9,4,1,4,7,10,4,0
