,,0,3,0,0,2,0,1,2,6,0,0,1,0,0,0,1,0,2,0,1,1,0,1,0,0,1,1,2,0,1,0,0,0,0,5,3,2,0,2,0,1,2,0
.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0
PRP$,0,0,0,0,1,0,1,0,5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
adjective,0,4,1,3,3,1,5,4,5,1,2,3,0,1,2,0,3,4,1,1,0,0,2,1,0,2,1,2,1,1,0,0,0,2,2,3,2,3,2,5,1,3,0
adverb,1,0,2,0,2,1,2,2,2,1,3,1,0,0,2,0,0,1,1,3,0,1,0,2,1,1,2,1,0,1,0,0,0,1,4,3,2,3,1,1,1,1,0
article,1,3,4,3,1,0,2,5,5,2,3,4,3,1,1,0,0,5,4,1,0,0,3,1,2,4,5,3,2,1,1,0,0,1,6,2,6,1,5,8,3,3,0
conjunction,1,6,4,2,3,0,2,4,10,2,3,4,6,1,2,0,2,4,7,0,0,0,1,2,2,2,2,2,3,2,0,0,0,3,4,3,5,6,5,8,3,2,0
noun,3,14,7,4,6,0,7,9,17,3,4,6,5,1,5,2,5,6,9,2,2,0,4,4,2,7,5,4,4,4,3,1,1,3,11,11,7,8,6,9,7,6,0
numeral,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
other,0,0,2,0,1,1,0,1,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,0
particle,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
pronoun,0,2,1,0,2,1,0,1,2,2,0,1,5,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,0,2,1,0,0,2,1,4,1,2,1,0,0,0,0
verb,1,3,6,1,5,3,2,3,9,2,1,2,9,3,3,3,0,1,5,1,1,1,3,3,2,4,6,5,2,2,2,1,0,3,7,9,4,7,5,4,4,2,0
