,,0,0,0,0,1,2,1,1,1,3,0,0,1,1,1,1,0,1,2,0,3,2,3,0,2,0,2,2,2,2,1,3,0,0,1,0,1,0
-LRB-,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
PRP$,0,1,2,0,0,1,0,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,2,2,1,2,1,0,0,0,1,1,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
``,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,1,2,1,0,4,0,0,3,3,2,0,1,0,1,0,0,4,2,0,1,1,2,1,0,2,1,1,2,2,1,2,4,1,0,4,2,5,0
adverb,0,2,0,1,0,3,0,1,1,0,0,1,2,0,1,5,0,2,2,1,1,2,0,0,1,1,2,1,3,3,0,3,1,1,2,0,2,0
article,0,2,1,2,4,4,4,8,4,4,2,2,0,1,2,4,2,1,4,1,4,4,3,3,3,2,0,0,2,1,2,9,2,3,2,1,3,0
conjunction,1,2,4,3,2,6,3,5,3,4,1,0,3,1,2,6,2,4,4,0,1,4,5,3,3,3,4,4,3,1,3,13,0,3,3,2,6,0
noun,4,5,6,3,4,7,7,11,8,8,2,3,6,1,3,8,4,3,6,2,4,13,11,5,8,5,4,4,3,4,6,11,2,4,0,3,5,0
numeral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
other,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,2,1,1,3,1,3,0,0,1,1,0,0,2,0,0,0,0,3,0
particle,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,0,1,1,2,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,2,2,0,3,1,3,0,2,2,0,1,0,6,0,1,1,0,1,0
verb,2,3,2,5,4,6,4,7,1,5,1,2,3,3,0,5,2,3,7,5,3,3,9,4,8,2,5,3,4,4,3,14,1,2,3,1,8,0
