,,2,2,0,2,1,6,0,0,1,0,2,4,0,0,2,1,1,1,6,2,0,0,0,1,0,2,1,3,0,4,1,2,2,1,0
-LRB-,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
-RRB-,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
:,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
PRP$,0,1,0,0,2,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0
adjective,7,6,1,2,1,4,1,5,0,0,0,3,0,1,3,0,7,0,1,1,2,1,5,2,2,3,2,0,2,2,4,1,1,1,0
adverb,2,0,1,1,1,3,1,1,1,0,0,1,0,1,0,2,1,1,2,1,2,2,2,6,0,0,0,4,5,1,1,4,2,1,0
article,3,4,1,2,2,6,2,2,0,0,1,1,1,1,2,2,0,3,7,5,2,4,2,2,2,3,1,3,3,1,5,6,2,3,0
conjunction,6,9,0,1,7,12,3,4,1,1,4,5,0,1,2,0,1,4,8,5,5,1,6,4,1,5,5,5,3,4,5,5,4,2,0
noun,5,10,2,7,5,13,4,3,2,0,8,6,0,1,3,2,4,7,13,8,7,3,14,9,2,7,7,4,9,7,5,13,5,5,0
numeral,3,1,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other,2,0,0,0,1,1,0,3,0,1,0,0,0,0,2,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0
particle,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
pronoun,1,2,1,1,2,1,0,1,0,2,1,2,0,0,2,1,0,2,1,0,0,0,1,3,1,1,1,3,1,0,3,2,2,3,0
verb,4,2,2,3,7,9,1,5,0,3,1,4,1,2,7,2,4,5,5,6,4,4,7,8,1,3,2,6,9,5,8,6,4,7,0
