,,0,1,1,6,2,0,1,3,3,1,2,1,1,4,4,0,1,4,2,0,3,2,2,0,2,2,1,1,0,2,3,0,0
-LRB-,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PRP$,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,1,1,0,0,0,0,0,0,0
RBR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,0,8,3,6,3,3,4,4,5,2,3,1,3,6,7,0,5,6,5,0,7,2,6,2,3,0,1,0,0,4,4,0,0
adverb,1,0,0,2,0,2,2,2,3,0,1,2,1,4,1,1,3,5,3,0,3,0,3,3,4,1,3,2,0,2,2,0,0
article,2,3,4,8,3,1,4,3,7,2,3,5,7,10,7,1,4,13,1,0,3,6,7,2,4,1,5,0,0,4,2,0,0
conjunction,4,4,5,11,4,3,5,9,8,2,3,5,6,9,9,5,4,12,10,1,7,5,8,7,6,1,3,0,0,4,3,2,0
noun,5,14,9,11,5,2,12,15,13,3,4,5,11,19,13,7,5,14,19,0,12,8,17,6,11,2,7,0,1,7,4,4,0
numeral,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
other,0,2,0,6,1,1,1,1,2,0,1,0,0,1,3,0,0,2,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0
particle,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
pronoun,2,0,1,4,1,1,3,2,2,0,2,0,0,1,0,2,1,4,1,0,1,0,2,3,0,1,1,1,0,1,0,0,0
verb,3,2,5,9,4,3,7,7,8,2,4,6,2,7,5,4,5,13,6,0,4,1,7,4,4,1,6,0,0,4,5,2,0
