,,0,7,1,2,2,2,0,1,0,1,0,4,4,0,0,1,0,0,0,0,0,4,4,1,1,2,0,1,3,0,1,0,0,3,2,0,0,3,0
.,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
PRP$,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,2,2,0,0,1,0
RBR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,1,5,2,4,1,0,1,1,0,1,3,1,6,1,3,1,1,0,0,2,1,3,1,2,3,5,0,0,1,2,3,0,2,1,5,1,2,2,0
adverb,1,1,1,1,2,1,1,0,1,0,0,3,5,0,0,3,1,0,1,0,1,0,1,0,0,5,0,3,5,1,3,1,2,3,1,0,1,4,0
article,4,2,3,4,1,5,5,2,1,2,5,7,7,2,2,3,0,2,2,2,1,3,1,1,6,5,0,2,6,1,2,1,2,5,7,1,4,2,0
conjunction,4,3,3,5,2,2,3,2,2,1,6,6,9,2,3,3,4,2,3,3,1,5,4,3,7,6,0,6,5,1,1,2,0,9,4,2,5,5,0
noun,11,10,3,6,1,6,7,4,4,3,8,11,7,4,7,7,3,2,3,3,5,8,8,3,8,14,0,5,9,5,3,1,2,11,11,3,6,6,0
numeral,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other,0,0,0,0,0,2,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,2,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
particle,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,0,1,1,0,2,0,0,0,1,0,0,2,2,0,1,0,3,1,3,1,1,3,2,0,0,4,1,3,0,0,0,1,1,1,2,0,2,4,0
verb,2,4,2,2,2,6,4,2,2,1,1,6,4,2,2,2,3,1,4,4,3,3,4,2,5,7,1,7,2,1,1,1,4,5,4,1,4,7,0
