,,1,0,1,1,2,0,2,1,0,0,1,1,0,2,0,0,1,0,1,1,0,2,0,0,1,2,0,2,3,0,0,0,1,3,2,0,2,2,1,1,1,4,0,2,0,3,1,1,1,3,1,2,0,2,1,2,3,0,0,2,2,0,0,2,1,2,0,1,1,0
-LRB-,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
:,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
PRP$,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
RBR,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,4,2,2,2,2,5,3,3,1,0,4,3,1,3,2,1,2,3,2,6,2,1,1,2,6,2,2,3,2,2,0,1,1,3,0,2,1,3,4,0,1,1,2,4,2,4,1,3,4,7,5,4,6,4,5,4,4,0,0,2,4,1,0,4,2,3,3,2,2,0
adverb,2,2,2,0,2,0,1,3,0,0,2,0,1,3,0,3,3,2,2,2,2,3,1,0,2,0,0,1,0,0,1,2,1,2,0,1,3,0,3,1,0,0,2,0,2,2,0,1,1,2,1,2,1,2,1,2,4,0,3,1,3,1,0,2,2,0,2,0,3,0
article,1,0,6,0,2,3,1,1,1,0,3,1,1,5,3,2,0,2,2,1,1,2,1,0,5,2,4,2,3,1,0,2,2,0,5,2,1,2,2,0,4,3,0,5,2,5,2,2,2,6,3,6,4,2,1,7,1,2,0,2,2,1,0,2,1,3,0,4,1,0
conjunction,3,2,3,4,3,4,4,5,1,0,2,3,1,9,1,1,1,2,2,8,2,7,2,3,6,1,5,14,5,0,1,3,0,4,10,2,3,4,4,1,4,8,2,6,2,4,4,4,3,7,3,6,6,6,5,5,6,0,1,4,5,3,0,2,2,3,4,6,1,0
noun,6,3,12,9,7,6,5,6,1,1,6,11,2,11,4,2,2,5,6,8,4,9,3,6,9,10,7,11,11,2,3,6,0,6,17,7,6,8,9,2,6,22,2,11,5,9,7,5,4,17,4,12,11,8,11,11,7,2,6,5,10,1,0,6,2,7,6,10,1,0
numeral,0,0,0,0,0,0,3,3,2,1,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
other,1,0,4,0,0,0,1,0,0,0,1,2,0,1,0,1,0,2,2,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,2,1,0,1,1,0,2,0,1,0,2,1,1,1,1,3,2,1,2,3,0,0,0,3,0,0,1,0,0,3,1,1,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,1,1,1,0,1,0,0,0,0,0,1,1,1,2,3,2,1,2,0,2,1,1,1,0,1,0,0,5,0,0,1,1,2,3,5,1,1,1,1,2,0,2,1,1,0,0,0,3,1,1,0,0,3,2,1,2,2,3,0,2,3,0,2,3,1,0,5,1,1,0
verb,5,4,5,3,6,0,3,2,0,0,6,2,2,3,2,4,4,9,9,7,2,5,2,2,6,3,2,13,3,1,3,5,2,6,10,4,5,5,6,0,4,4,1,7,3,8,2,6,2,4,4,3,6,5,4,6,9,2,2,6,7,0,2,6,4,5,11,7,4,0
