,,1,1,0,0,3,0,3,2,1,3,0,3,1,4,1,3,1,0,0,0,1,1,2,2,2,2,3,0,0,0,2,3,2,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PRP$,0,1,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,1,0,2,0,1,1,0,0,1,0,2,1,0,0,1,0,0
adjective,2,1,1,2,3,3,2,3,2,7,0,4,5,4,1,4,4,2,1,1,3,2,3,6,4,5,3,0,0,1,1,2,2,0
adverb,1,2,1,0,3,0,0,2,5,1,0,3,0,1,1,2,1,0,0,0,1,0,0,1,1,2,3,0,0,2,1,3,3,0
article,6,2,3,5,1,3,2,3,1,5,1,3,5,4,5,7,3,0,0,3,9,3,4,2,4,4,3,0,0,1,2,3,3,0
conjunction,5,3,5,4,7,7,4,6,4,4,2,7,4,4,6,12,7,3,0,7,4,4,2,3,7,6,9,3,0,0,4,3,1,0
noun,15,9,8,9,10,8,13,12,5,16,3,9,7,8,16,15,16,7,1,14,13,11,3,9,9,8,8,3,1,0,4,6,3,0
numeral,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
other,0,2,0,0,1,0,1,0,2,2,1,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,2,1,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,1,1,0,1,0,0,0,2,2,1,0,3,0,2,1,4,0,2,0,2,1,0,0,0,0,1,5,2,0,1,3,2,0,0
verb,3,3,2,2,3,0,2,4,4,4,4,7,5,2,3,7,2,2,1,6,3,2,2,2,2,4,10,2,0,2,2,5,4,0
