,,2,0,0,1,1,0,3,1,1,1,0,0,6,1,1,1,1,0,0,0,0,0,1,3,2,0,2,1,0,2,0
-LRB-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
:,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0
PRP$,1,2,2,0,1,0,0,0,1,0,0,0,4,1,0,3,0,0,0,1,0,0,0,1,1,0,0,1,0,2,0
RBR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
adjective,4,2,0,2,2,0,3,4,1,1,1,2,6,0,0,0,3,0,1,1,2,1,1,2,6,3,2,1,0,0,0
adverb,1,1,1,1,0,1,5,1,3,1,0,1,3,1,2,1,1,0,2,4,0,1,3,4,1,0,0,1,1,4,0
article,2,2,0,0,4,3,5,4,4,1,2,1,5,2,0,5,2,0,0,0,2,3,1,6,3,3,1,4,0,1,0
conjunction,3,7,1,1,4,1,5,5,5,1,2,5,9,3,2,8,2,1,0,3,1,4,4,9,8,3,2,3,0,2,0
noun,5,7,3,0,5,3,4,9,12,4,3,5,14,5,2,11,4,1,1,2,1,4,4,13,14,6,5,5,1,4,1
other,0,1,0,0,2,0,0,0,0,0,1,2,0,0,0,1,2,0,0,1,0,0,0,3,0,0,0,0,0,0,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
pronoun,1,3,0,2,0,2,2,0,0,0,2,1,2,1,3,5,1,1,1,4,0,2,3,5,3,2,1,1,1,2,0
verb,4,9,4,2,1,5,6,4,4,1,4,3,6,3,4,7,2,3,1,6,1,1,6,13,7,5,1,7,1,4,0
