,,0,3,1,3,0,0,1,0,0,3,3,2,2,1,4,0,1,1,0,0,2,0,0,0,1,2,1,1,0,0,0,2,1,1,2,0
:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
PRP$,0,1,1,0,1,0,1,0,1,0,1,1,1,0,2,1,1,2,0,0,0,1,0,1,0,5,2,0,0,3,2,2,0,0,4,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,3,3,0,1,1,0,1,2,1,0,0,4,0,2,3,2,2,4,0,0,0,1,0,4,1,7,6,2,1,3,4,1,2,2,4,0
adverb,0,0,0,0,1,0,0,0,0,2,1,1,0,1,0,0,1,1,1,1,2,0,0,3,3,2,0,2,0,1,0,0,1,1,0,0
article,0,4,4,5,1,1,1,4,2,3,3,7,1,5,5,2,3,7,3,0,0,2,1,2,3,2,9,2,2,2,2,5,5,0,2,0
conjunction,1,7,5,8,0,1,2,5,3,7,6,11,4,5,6,2,5,8,5,1,4,4,2,9,5,9,11,4,3,7,7,5,4,1,4,0
noun,6,14,7,11,2,2,3,6,5,21,8,16,13,8,11,2,10,12,10,4,6,4,7,12,4,12,17,3,3,10,7,9,8,1,10,0
numeral,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
other,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,2,2,0,0,0,0,0,0,1,3,1,0,0,1,0,2,2,0,1,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
pronoun,0,1,2,1,0,0,1,0,1,0,0,0,1,0,0,0,3,3,1,0,0,1,0,1,5,2,1,0,0,1,2,1,0,1,0,0
verb,1,2,6,4,1,2,2,3,3,3,5,3,4,5,5,1,4,10,5,2,0,1,1,3,8,7,7,1,3,7,2,4,3,2,3,0
