,,3,4,3,4,2,0,2,2,3,1,1,1,1,6,2,1,2,1,0,1,2,0
-LRB-,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0
-RRB-,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0
.,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0,0
PRP$,0,2,2,5,0,0,1,0,2,0,0,0,1,3,0,2,0,1,0,1,1,0
adjective,2,1,5,12,5,3,5,4,8,0,3,9,0,11,7,5,4,6,2,4,2,0
adverb,2,0,2,1,1,2,4,1,1,1,1,1,0,3,2,0,1,2,1,4,2,0
article,3,2,6,4,7,4,4,3,5,1,3,11,1,9,9,7,6,2,1,7,2,0
conjunction,3,5,12,10,6,2,4,6,5,2,4,13,3,14,10,9,5,3,3,6,1,0
noun,9,11,15,21,13,5,9,13,11,2,6,20,5,27,18,13,13,6,4,11,5,2
numeral,2,2,0,1,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,1,1,0
other,2,0,1,1,0,1,1,1,0,0,1,0,1,3,2,2,1,1,1,2,1,0
particle,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,2,0,2,1,0,0,0,0,1,2,1,1,0,2,2,2,0,0,1,4,2,0
verb,6,3,10,8,4,3,8,7,7,3,4,4,3,14,12,11,7,3,4,12,5,0
