$,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,,0,4,0,0,2,1,0,0,2,0,2,2,5,2,0,1,4,2,0,2,4,3,5,5,3,2,0,3,2,1,5,0,0,0,4,1,2,0,4,2,2,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
PRP$,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,1,0,0
RBR,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
adjective,2,3,4,1,1,5,2,3,2,2,0,3,4,3,1,3,3,4,1,3,1,4,5,10,3,0,4,3,4,1,6,3,4,3,4,3,3,4,7,2,0,0
adverb,0,1,2,0,0,3,0,1,1,1,2,4,4,0,1,0,4,0,2,2,3,4,4,2,3,2,2,3,1,1,3,1,1,2,5,3,4,1,4,2,1,0
article,2,1,6,1,0,5,3,2,3,2,0,1,1,4,0,3,1,6,2,1,3,5,8,0,2,2,4,4,3,4,1,1,4,0,5,3,1,1,9,2,2,0
conjunction,0,3,7,2,3,8,5,3,9,3,1,3,5,5,0,4,3,6,4,4,7,8,10,9,6,2,7,5,12,3,5,3,2,2,7,5,1,3,9,4,1,0
noun,2,3,9,5,1,11,6,5,15,5,1,2,8,7,1,8,5,13,3,5,6,13,16,5,5,2,10,9,14,6,12,2,5,3,8,6,3,4,10,4,2,0
numeral,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
other,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,1,2,4,2,0,2,0,4,7,1,0,1,0,0,0,1,1,0,0,2,2,1,0,1,1,0,0
particle,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
pronoun,0,1,2,0,2,1,0,0,0,1,1,1,1,0,0,0,3,1,3,0,5,1,3,9,6,1,1,0,6,0,2,0,1,0,1,1,0,0,2,4,1,0
verb,1,5,11,3,2,5,5,2,4,1,3,3,8,3,1,4,8,6,5,5,9,4,9,12,9,3,3,1,10,4,7,2,3,2,6,6,2,3,5,8,2,0
