Adv,0,1,1,2,2,0,0,0,0,1,2,2,1,1,3,0,0,1,1,1,1,1,3
Art,0,1,0,6,2,2,3,2,2,1,4,3,1,4,3,0,1,2,2,3,0,1,1
Num,1,0,0,2,0,1,0,1,2,0,0,1,1,0,1,0,0,0,0,2,0,0,2
Prep,0,2,0,6,3,2,5,1,2,2,4,2,3,3,2,0,3,5,2,2,0,1,2
Pron,0,2,1,1,1,1,0,0,0,2,0,3,2,3,1,0,0,2,1,0,0,2,2
Punc,1,3,0,1,0,0,2,0,0,1,0,1,1,0,1,0,0,1,4,0,1,2,1
adjective,0,3,0,3,0,1,2,1,1,3,0,1,1,2,1,0,0,1,0,0,0,0,3
conjunction,0,1,0,2,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,2,1
noun,1,6,0,11,6,3,10,2,5,4,8,5,3,5,6,0,3,9,6,4,1,8,5
verb,1,3,2,2,3,2,5,1,3,3,4,4,5,3,1,0,1,2,2,2,1,3,4
