Adv,0,0,1,0,1,0,3,0,0,1,0,0,0,2,1,0,0,1,0,2,1,2,1,1,2,0,0,0,0,0,0,0
Art,0,0,3,2,3,0,1,2,0,2,0,0,1,3,1,1,0,0,1,3,0,3,5,1,3,1,0,2,3,2,3,0
Num,0,0,0,1,3,0,1,0,0,2,0,0,0,0,0,0,0,0,4,0,0,2,0,0,1,0,0,0,0,0,0,0
Prep,0,0,2,1,5,0,2,1,0,5,0,0,1,3,3,0,0,3,4,3,1,3,4,3,6,0,0,3,3,3,4,0
Pron,0,1,0,3,1,1,1,0,1,1,0,0,0,1,1,0,1,2,0,0,2,2,1,1,3,0,1,2,1,1,1,0
Punc,0,0,0,0,2,0,0,0,0,0,0,0,3,2,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,1
adjective,1,0,1,0,1,0,3,1,0,0,0,0,0,6,4,0,0,1,1,1,2,4,1,1,1,0,0,0,1,1,3,0
conjunction,0,0,0,0,1,0,1,0,0,0,0,0,2,2,2,0,0,0,1,0,0,2,0,2,2,0,0,0,0,0,2,0
noun,1,0,8,7,9,0,4,2,0,6,0,1,15,4,6,1,0,4,14,7,3,3,6,5,8,1,0,6,3,5,4,0
verb,1,0,1,2,3,0,1,0,0,3,1,0,0,2,2,0,0,2,1,3,1,1,2,1,2,0,0,3,1,0,2,0
