,,3,1,0,1,1,1,0,2,1,0,0,2,4,0,2,2,1,0,2,2,1,0,0,2,1,0,3,2,3,1,0,1,0,3,0,1,0,1,1,0,3,2,1,2,0,0,3,0,0,0,4,1,2,0,2,1,0,0,1,0,1,1,0,0,0,1,1,2,1,0,0,2,2,1,0,0,2,0,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,1,3,2,1,2,0,1,5,3,0,1,5,3,1,1,2,5,3,3,3,1,2,1,2,0,0,1,2,4,2,0,1,0,1,0,5,0,2,0,0,4,4,0,2,2,0,2,4,1,2,4,1,6,2,2,1,3,4,0,3,1,2,0,0,0,0,2,2,2,5,0,4,3,5,0,1,2,1,0
adverb,5,0,0,1,2,0,1,6,3,0,1,1,3,0,1,1,2,5,1,1,0,0,2,2,1,1,1,2,4,2,1,0,2,1,0,1,0,0,1,1,2,2,1,1,0,0,1,1,1,0,3,1,3,2,3,3,1,1,1,0,1,5,0,0,1,2,1,4,0,2,0,2,1,0,0,0,2,0,0
article,1,5,2,2,2,1,1,1,2,2,1,2,7,2,0,0,10,1,4,1,1,2,2,5,0,1,4,1,3,2,0,1,2,1,1,2,0,2,0,0,2,2,4,1,2,1,1,1,0,3,1,2,1,3,2,2,1,2,3,1,0,0,1,0,0,0,3,2,3,3,0,4,4,3,0,2,1,1,0
conjunction,3,5,1,2,6,1,1,6,2,5,2,6,7,5,1,1,8,5,8,6,4,1,3,2,3,1,3,2,3,0,0,0,3,5,2,1,0,4,0,1,3,6,3,2,4,1,2,4,3,9,8,3,5,3,2,2,2,5,1,4,0,1,0,1,0,2,3,3,6,4,0,5,5,4,0,0,3,1,0
noun,4,12,1,3,11,2,2,10,5,4,2,10,22,11,4,6,11,6,12,14,3,4,3,10,11,0,11,4,9,5,0,3,4,8,4,3,0,13,2,3,3,16,7,8,10,1,5,6,5,11,10,6,3,4,3,1,5,8,5,4,0,1,2,0,2,1,5,9,13,5,0,7,16,6,0,2,4,2,0
numeral,0,2,0,0,0,0,0,3,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,1,1,2,0,0,1,2,2,0,2,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
other,0,1,0,0,2,0,0,2,0,0,0,1,3,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,2,0,0,0,2,3,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0
particle,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,2,0,1,2,2,0,1,1,1,1,2,3,1,0,0,1,1,0,2,1,0,0,0,2,1,1,1,3,0,0,0,0,1,2,0,0,1,2,0,1,0,0,1,1,0,2,3,3,1,1,1,0,3,1,1,3,1,1,1,0,3,1,0,1,0,1,0,2,2,2,1,0,2,1,0,0,0,0,0
verb,4,4,4,6,3,0,1,8,2,3,3,6,7,4,3,5,5,3,5,5,5,1,3,5,4,1,6,4,5,4,0,1,3,3,0,1,2,3,1,2,5,1,2,1,4,2,6,5,3,3,6,4,6,4,3,4,6,7,3,2,6,2,0,2,0,3,3,6,3,5,1,1,8,1,0,2,3,2,0
