'',0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,,0,0,1,3,1,0,2,2,0,0,2,0,0,1,2,2,0,2,2,0,0,3,1,3,5,2,3,0,3,1,3,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,2,2,0,0,2,1,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
PRP$,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,0,3,1,1,1,1,0,1,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,2,1,0,1,1,0
RBR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
``,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
adjective,2,0,2,1,5,0,1,1,0,0,2,3,4,3,4,0,0,5,3,2,4,7,0,0,7,5,5,2,2,1,1,0,3,0,0,0,0,1,0,1,4,1,3,0,0,0,3,2,2,1,1,0,1,2,0,5,1,0
adverb,1,1,1,3,2,2,3,0,0,2,1,2,2,0,1,2,1,1,2,1,1,3,0,3,2,1,0,1,4,1,2,0,3,0,0,0,0,2,1,1,0,1,0,0,1,0,3,0,2,4,1,1,1,0,0,1,1,0
article,1,2,2,2,2,0,2,4,1,1,3,3,7,8,4,1,3,2,1,5,4,3,2,3,3,2,2,3,3,1,1,1,3,0,1,1,2,1,1,3,4,1,3,0,2,0,7,1,0,2,1,0,0,1,0,5,0,0
conjunction,1,1,2,2,5,1,6,7,0,1,4,5,5,7,5,1,3,3,4,4,4,6,1,4,2,5,4,4,4,5,6,3,4,1,4,2,1,1,2,4,7,1,2,1,5,0,14,0,2,4,0,3,0,3,1,6,2,1
noun,4,3,6,7,8,0,13,13,2,0,9,9,13,15,8,2,6,4,6,6,5,5,1,4,3,12,10,11,6,6,7,6,4,0,3,2,4,3,3,5,15,7,4,2,4,0,18,5,3,6,2,4,5,4,5,12,2,0
numeral,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
other,0,0,1,0,0,0,3,1,0,0,0,2,1,2,1,0,0,1,3,4,0,1,1,0,1,4,2,3,2,0,2,1,0,0,0,1,1,0,0,0,3,0,4,0,0,0,2,1,0,0,1,2,1,0,2,1,1,0
particle,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,0,0,1,1,2,0,1,0,0,1,0,1,0,0,1,1,1,0,2,3,0,1,1,2,2,2,0,0,3,0,1,2,3,1,0,2,0,2,0,0,0,0,1,0,1,0,1,1,0,4,1,1,0,1,1,2,1,1
verb,2,0,4,2,6,0,4,2,1,1,2,3,6,3,6,5,2,2,7,13,4,6,2,3,4,6,2,3,3,2,4,2,4,1,2,3,1,4,1,1,2,1,4,3,2,0,13,2,1,8,1,4,2,5,2,6,3,1
