,,3,2,3,3,2,5,3,4,0,0,0,3,1,2,1,0,3,0,3,5,1,0,0
-LRB-,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
-RRB-,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
.,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
PRP$,2,1,0,1,0,0,1,2,0,0,0,3,0,0,0,0,1,0,1,1,0,0,0
RBR,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
adjective,6,2,4,1,1,7,4,1,0,0,0,6,1,3,0,0,6,1,4,6,3,0,0
adverb,1,3,4,2,2,3,5,3,0,1,0,3,2,4,0,0,2,0,0,4,4,1,0
article,6,4,6,0,2,7,5,2,0,0,0,5,0,2,0,0,3,2,3,3,2,0,0
conjunction,12,4,5,1,2,9,9,4,1,1,0,11,3,6,0,0,7,1,7,5,5,0,0
noun,21,16,7,3,1,14,16,10,1,0,0,24,8,9,2,1,17,1,12,9,4,0,2
numeral,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
other,2,1,2,1,0,3,1,1,0,0,0,2,0,0,0,0,2,0,1,1,2,0,0
particle,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
pronoun,2,0,2,3,1,2,1,1,0,1,2,1,6,1,1,1,1,0,2,4,4,2,0
verb,8,3,7,5,2,9,7,7,0,1,0,7,8,4,1,0,6,2,6,8,8,3,0
