'',0,1,2,0,1,0,0,3,0,0,0,1,0,1,1,0,0,0,1,0,3,1,0,1,0,0,0,0,1,0,0,0
,,0,1,1,0,0,0,0,1,0,0,1,0,0,5,2,0,0,1,2,3,2,0,0,1,1,2,2,0,1,1,1,2
.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
PRP$,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
``,1,0,2,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,2,3,3,0,1,1,1,0,0,0,0,1,1
adjective,0,1,1,1,2,5,1,1,3,0,1,1,0,6,2,0,2,0,3,2,1,1,0,4,2,2,4,1,1,1,0,0
adverb,1,1,0,4,1,4,0,1,2,0,2,0,0,2,0,0,2,3,3,2,3,0,0,2,1,4,0,0,3,1,0,1
article,1,4,2,4,3,5,1,2,2,3,2,3,1,2,3,1,1,0,1,2,1,4,0,3,3,2,3,2,4,0,4,1
conjunction,0,5,5,3,2,6,2,4,4,4,3,7,0,6,4,1,1,0,7,3,3,5,0,3,3,6,2,2,3,0,4,2
noun,3,8,12,6,5,11,4,5,5,5,9,9,2,7,11,4,3,0,9,8,4,8,5,5,4,10,11,5,7,1,6,1
numeral,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other,0,1,1,0,1,1,0,0,1,0,1,1,0,3,2,0,0,0,0,0,0,2,1,1,0,0,3,0,1,1,3,0
particle,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
pronoun,0,2,0,0,0,0,0,3,1,2,1,0,0,8,3,0,2,1,5,1,3,0,0,2,2,0,0,1,2,0,3,4
verb,2,6,5,7,4,6,2,6,3,4,1,2,2,14,11,1,4,2,11,2,4,6,1,4,4,4,3,3,8,4,9,4
