'',0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,0,2,2,1,2,0,2,0,4,0,4,2,0,0,1,0,0,0,0,2,1,2,0,0,0
PRP$,0,2,0,0,1,0,2,0,2,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0
RBR,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
``,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
adjective,0,6,0,2,3,0,5,1,2,1,3,3,2,4,0,0,0,1,5,0,1,5,0,1,2
adverb,0,3,1,1,0,1,1,1,1,0,3,0,1,1,0,1,0,0,0,0,1,2,0,2,1
article,0,6,1,1,3,1,2,3,0,1,4,1,4,2,2,0,0,3,2,1,2,1,2,0,2
conjunction,0,2,2,1,3,1,7,1,6,1,3,1,5,3,0,0,0,7,3,2,2,7,2,2,5
noun,2,12,3,2,8,2,7,2,18,4,14,7,6,7,2,0,2,10,5,8,11,8,2,10,6
numeral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
other,0,3,0,1,1,0,0,0,4,1,1,1,0,1,0,0,0,2,2,1,0,0,0,2,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
pronoun,0,0,2,0,1,4,0,0,1,0,2,1,2,0,2,1,1,3,1,0,0,0,0,0,3
verb,0,5,3,3,4,3,4,1,6,3,3,4,3,4,2,2,2,11,3,5,5,4,0,3,5
