,,0,1,1,2,2,0,2,1,0,0,1,0,0,3,1,1,2,2,4,0,0,0,1,1,0
-LRB-,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PRP$,0,1,2,1,1,0,1,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0
RBR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
adjective,0,4,4,1,1,3,0,0,2,1,1,0,1,3,1,0,2,1,1,0,1,1,2,2,0
adverb,0,0,4,4,1,1,2,0,1,3,0,1,0,3,3,1,2,2,1,1,1,0,2,0,0
article,0,2,4,1,0,2,0,1,1,1,2,2,3,5,2,2,2,3,1,0,1,1,3,3,0
conjunction,0,3,5,3,3,5,1,0,1,1,2,1,7,3,7,1,4,3,1,1,1,2,6,2,0
noun,2,12,13,3,12,5,3,4,5,4,5,5,8,12,10,3,11,13,6,4,6,7,9,6,0
numeral,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
other,0,1,2,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,2,1,0
particle,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pronoun,0,1,1,2,1,2,0,1,0,0,0,0,1,0,3,0,1,3,0,1,0,1,1,0,0
verb,0,3,5,4,3,4,2,4,1,1,3,1,7,3,7,2,5,5,2,1,2,3,6,5,0
