'',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,,1,0,3,4,0,2,0,0,1,2,1,0,1,2,0,3,1,2,0,0,1,1,1,2,0,0,2,1,0,2,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
PRP$,2,0,1,2,0,0,1,0,1,1,0,2,0,0,1,0,0,0,1,0,1,0,0,1,1,0,2,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,1,0
RBR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
``,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,1,0
adjective,1,2,1,2,0,2,2,0,3,3,2,0,1,1,0,1,1,0,0,0,2,1,0,0,3,1,4,1,1,1,5,2,6,1,1,2,1,0,2,0,0,1,0,1,0
adverb,2,0,0,10,2,0,2,0,1,0,2,1,0,3,0,1,2,0,1,0,2,1,3,5,1,0,2,1,0,0,0,1,2,1,1,0,2,1,2,0,1,1,1,0,0
article,1,3,5,6,0,4,3,0,2,3,4,2,3,4,0,2,0,0,1,1,5,1,1,0,5,3,2,3,0,2,5,3,3,4,1,0,0,0,3,0,0,4,0,0,1
conjunction,5,4,6,14,1,4,6,3,2,4,6,1,3,4,3,4,2,2,1,3,6,1,1,1,2,5,3,4,2,3,11,3,7,5,2,1,6,1,2,1,1,4,3,1,2
noun,7,9,12,15,2,10,10,5,8,13,15,6,8,9,2,6,4,3,5,5,13,2,5,5,13,5,9,5,2,4,14,8,13,7,0,7,5,5,5,1,1,8,5,2,4
numeral,0,1,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
other,1,1,2,4,0,1,1,0,2,1,3,1,1,1,2,1,0,0,0,0,0,0,2,0,1,0,0,4,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1
particle,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
pronoun,1,0,0,3,1,2,2,1,1,1,0,1,0,1,3,3,1,1,0,1,1,0,3,2,0,0,0,1,2,0,2,1,2,1,1,0,2,1,1,2,1,1,0,1,1
verb,6,2,3,9,1,6,7,4,3,5,3,5,3,6,4,3,3,3,2,1,5,1,5,5,7,3,4,6,4,3,5,4,3,6,4,4,6,2,5,3,2,5,4,3,3
