,,0,2,0,0,3,3,1,0,0,3,3,3,1,4,1,0,1,3,2,3,3,1,1,0,2,2,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
:,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
PRP$,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
adjective,0,3,0,0,7,7,3,1,0,5,3,8,5,8,2,0,1,3,3,4,2,1,3,2,3,0,0
adverb,3,1,0,2,2,2,1,2,1,1,2,2,1,6,4,0,0,2,2,2,7,1,0,0,6,1,0
article,1,4,1,0,7,4,5,0,0,4,2,8,3,6,1,0,2,4,3,2,2,1,1,1,3,1,0
conjunction,0,5,2,0,11,7,10,1,3,6,5,13,4,7,2,2,2,4,2,4,6,2,3,2,3,2,0
noun,1,17,3,1,11,17,16,1,1,8,8,16,6,12,6,2,6,7,8,4,10,6,4,3,0,1,0
numeral,0,1,0,0,3,1,0,0,0,2,3,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
other,0,1,0,0,2,2,1,1,1,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0
particle,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,0,0,0,0,1,2,0,1,2,0,1,2,0,2,0,1,0,2,0,0,4,2,0,2,0,1,0
verb,1,5,0,1,8,8,6,2,2,2,6,15,3,10,4,3,1,5,4,0,7,4,3,2,1,1,0
