'',0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
,,3,0,0,0,1,2,1,0,1,0,1,0,0,1,0,3,0,1,3,0,0,1,1,0,5,2,4,1,0,2,3,0,1,2,0,2,1,0,1,1,0,5,2,0,0,1,0,1,0,1,0,0,0
-LRB-,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
PRP$,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
``,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
adjective,5,0,3,4,0,3,2,2,2,4,2,0,1,0,1,1,1,0,1,0,0,0,1,0,6,2,1,4,0,1,1,1,1,0,4,4,1,3,1,1,0,2,1,0,0,2,0,1,0,1,0,1,0
adverb,2,0,1,1,0,3,0,1,3,0,4,0,0,1,1,4,0,1,2,0,1,1,0,0,2,1,1,2,0,1,3,0,2,1,3,2,0,1,0,2,1,1,0,0,0,1,1,1,1,0,0,0,0
article,1,1,5,7,3,3,5,2,1,1,6,0,0,1,1,2,5,2,1,0,1,2,1,1,4,0,2,4,0,0,3,1,2,2,2,2,1,2,6,0,0,3,1,0,0,1,0,2,0,3,1,1,0
conjunction,4,0,7,5,0,5,1,5,2,1,8,1,3,1,1,1,3,3,3,0,0,0,1,1,4,2,1,6,3,6,3,1,3,2,3,5,1,4,4,0,0,2,1,0,0,4,0,2,0,1,3,2,0
noun,15,2,8,10,5,4,8,5,7,5,14,1,5,5,4,2,4,6,9,1,2,3,3,2,11,4,5,12,0,8,6,1,5,6,6,7,4,3,6,2,3,13,7,2,0,9,0,4,1,2,4,2,0
numeral,0,0,0,1,1,0,1,3,1,2,2,1,3,1,0,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0
other,1,0,0,0,0,0,1,1,0,2,2,0,0,0,2,0,1,1,0,0,0,0,0,0,4,0,0,2,1,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
particle,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,0,1,1,0,0,1,0,1,0,0,1,0,3,1,0,0,4,3,1,0,0,2,3,0,1,1,0,4,1,5,3,0,0,2,2,3,1,1,1,1,0,3,0,1,1,3,1,0,0,0,1,0,0
verb,4,1,4,3,2,2,2,2,1,3,7,0,4,1,4,0,9,7,8,0,0,4,3,1,5,3,1,5,3,7,8,1,6,4,4,4,1,2,9,2,1,4,1,1,2,4,1,1,2,1,4,1,0
