Adv,2,0,0,3,0,1,0,2,1,4,2,1,0,0,4,2,0,2,1,1,0,1,0,0,0,0,0,1,5,0,0,0,1,0,0,1,3,2,1,1,1,1,1,0,0,2,1,0,0
Art,1,3,1,0,0,0,0,2,1,1,2,2,1,2,1,1,0,0,2,1,1,4,1,1,1,2,4,1,0,1,0,2,1,0,1,3,1,1,1,1,0,0,1,1,1,1,0,0,0
Num,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prep,2,4,0,1,3,1,0,2,0,0,2,1,0,1,0,2,0,1,1,1,0,3,4,0,1,2,2,1,2,1,0,1,1,1,3,1,1,1,1,1,0,0,0,0,2,0,0,0,0
Pron,1,4,1,0,3,2,1,1,1,2,0,1,0,0,1,1,0,3,1,1,1,1,2,1,1,0,1,2,2,0,1,2,2,2,4,1,3,1,2,2,2,0,0,0,1,1,2,0,0
Punc,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
adjective,1,5,1,1,1,0,1,0,2,0,1,0,3,0,1,0,0,2,0,0,0,1,0,0,1,1,3,0,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0
conjunction,0,1,0,0,0,1,2,0,1,2,1,0,1,1,1,0,0,2,1,1,1,0,2,0,0,0,0,1,2,0,0,2,0,1,0,1,2,0,1,1,1,0,1,1,1,1,1,1,0
noun,6,6,2,3,2,2,1,3,2,3,6,5,4,4,2,2,1,1,3,4,1,7,6,1,3,3,4,0,5,2,0,2,2,3,1,4,1,4,1,1,0,0,1,1,2,2,1,0,0
verb,2,6,1,2,3,3,0,3,3,2,1,1,2,0,2,2,0,4,1,5,1,1,3,2,1,2,2,1,2,0,1,3,1,1,5,2,4,1,2,3,3,0,1,2,1,3,2,0,0
