,,1,10,5,5,4,2,2,2,5,2,1,2,1,6,4,4,1,2,0,1,0,0,0,0,1,1,0,3,3,4,1,1,0,0,0,1,7,0,0,3,0,0,1,1,2,2,2,0,4,3,0
-LRB-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,0,3,2,2,0,2,0,2,0,0,0,0,1,0,2,0,1,0,0,0,0,2,0,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,2,4,1,0,1,0,0
RBR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,4,5,4,5,5,2,3,0,2,2,3,4,1,3,1,4,2,1,1,0,0,1,0,1,3,3,0,0,2,3,1,1,1,0,1,0,7,2,1,1,0,1,1,1,0,2,4,1,6,2,0
adverb,0,1,3,1,1,2,2,0,1,5,0,1,2,2,0,3,2,0,2,1,1,0,1,0,2,4,1,2,3,0,3,0,2,1,0,1,3,2,1,3,0,2,2,0,1,1,1,0,1,4,0
article,2,5,5,2,5,1,4,0,6,2,4,5,3,5,6,1,1,3,3,3,0,1,2,2,5,4,0,0,5,0,3,4,0,1,0,0,2,2,4,1,1,1,3,0,1,5,3,0,6,2,0
conjunction,4,12,9,10,6,3,8,1,1,5,6,4,5,8,9,4,1,5,4,2,2,4,0,8,5,4,0,1,8,1,2,5,0,1,0,2,7,4,3,4,1,4,3,2,2,4,5,1,6,4,0
noun,8,20,16,23,5,4,7,5,18,4,10,9,10,16,19,10,1,10,9,7,1,3,1,13,9,6,0,1,13,2,8,9,1,3,1,1,11,4,10,4,4,1,4,6,5,10,3,0,15,4,0
numeral,0,2,2,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0
other,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,2,0,0,1,2,0,0,1,0,2,0,0,0,0,0,3,1,1,0,0,1,1,1,2,0,0,1,1,0,0,1,1,0,1,0,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,0,1,1,0,2,1,2,1,0,2,2,2,1,0,0,0,1,2,1,2,1,3,1,0,1,2,0,1,3,1,2,1,2,2,0,3,3,0,0,1,0,2,1,1,0,0,2,1,1,2,0
verb,3,4,5,6,4,4,4,2,1,6,5,4,4,6,4,3,1,3,7,7,1,5,3,9,4,2,0,3,9,3,7,4,2,2,1,3,3,4,6,2,1,5,5,3,2,4,5,1,6,4,0
