,,0,1,5,0,2,1,0,3,0,6,0,2,3,0,0,0,2,1,0,1,2,0,0,2,2,4,3,2,2,2,0,1,1,1,4,1,2,1,4,0,3,0,0,0,4,3,0,0,0,0
-LRB-,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-RRB-,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
:,0,0,0,0,0,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
PRP$,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,2,1,0,1,0,0,2,0,1,0,0,0,0,2,2,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
``,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
adjective,1,3,6,3,2,2,2,6,0,3,3,2,2,1,0,0,1,3,3,2,6,4,1,5,4,5,1,2,0,4,4,4,4,3,2,2,2,4,2,0,2,2,3,0,3,2,2,2,2,0
adverb,7,3,2,2,1,1,2,1,2,0,0,0,2,1,3,1,2,3,2,3,2,1,1,2,1,2,0,2,0,0,1,3,2,0,1,0,0,3,3,2,2,1,1,0,5,1,2,0,0,0
article,3,3,3,4,1,7,2,12,2,5,2,1,2,4,0,0,7,2,1,3,6,5,1,4,4,7,3,2,3,4,1,4,2,7,4,1,2,4,5,1,0,2,1,3,2,4,5,5,1,0
conjunction,2,5,6,2,5,10,3,13,1,9,3,3,4,4,0,1,2,5,1,3,4,6,0,6,9,7,8,6,2,3,3,5,7,6,4,2,1,8,3,1,5,1,1,0,5,6,6,6,3,0
noun,6,4,8,5,10,13,7,20,3,22,3,3,6,9,1,1,9,5,5,7,13,13,0,10,19,12,14,7,8,7,2,5,11,8,6,6,3,7,7,1,6,3,4,5,3,9,7,8,4,1
numeral,0,0,1,0,0,1,0,1,0,5,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
other,1,1,0,1,0,0,0,4,0,0,0,0,2,1,0,0,0,0,1,1,2,0,0,0,0,1,0,0,1,0,1,0,0,1,0,2,0,0,3,0,0,0,1,0,0,1,2,0,2,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
pronoun,1,2,1,0,0,0,0,2,1,3,1,0,3,1,0,1,0,1,0,0,0,1,0,0,0,2,1,1,0,1,2,1,0,0,2,1,0,1,1,2,0,0,0,1,1,1,0,0,0,0
verb,6,3,3,1,9,2,6,11,4,6,1,2,6,5,0,2,5,3,3,2,8,4,1,2,5,12,2,5,2,2,2,8,5,5,5,5,1,5,7,2,4,3,3,3,4,5,7,2,7,0
