,,0,4,2,0,2,3,0,4,4,3,4,0,2,1,0,2,1,1,0,5,0,6,1,0,1,4,0,1,1,2,5,1,2,0,2,0,1,1,2,2,5,1,3,0,0,1,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
PRP$,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,2,0,0,0,0,2,0,4,0,3,0,1,1,1,1,3,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0
RBR,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,0,6,1,2,5,5,4,5,4,1,3,0,1,0,1,0,3,4,1,4,1,3,2,1,4,6,3,0,2,1,3,1,3,2,2,0,0,1,5,2,4,0,7,3,0,4,0
adverb,1,4,2,1,1,2,2,2,3,1,2,0,3,1,1,4,0,1,1,2,0,1,0,6,6,3,2,1,1,2,4,4,0,1,2,0,0,1,4,2,3,2,2,2,0,4,0
article,2,2,1,1,7,6,1,4,2,6,5,1,2,3,0,1,3,3,2,4,1,7,2,3,2,5,1,1,1,2,4,1,4,1,3,0,1,1,3,4,6,0,8,5,3,6,0
conjunction,1,7,3,2,6,6,3,8,5,8,5,0,4,3,0,0,3,3,1,10,3,12,1,8,5,7,1,4,2,1,7,4,3,3,2,1,2,3,5,7,9,2,10,7,1,6,0
noun,2,12,5,5,11,4,4,11,10,13,11,0,7,6,3,3,6,10,2,11,6,15,5,15,3,21,5,4,4,5,10,6,6,5,12,1,5,3,8,7,13,7,14,8,4,5,0
numeral,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0
other,0,0,1,0,1,2,1,0,0,1,1,0,0,2,0,1,1,1,1,1,0,0,1,1,0,3,0,2,0,2,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,2,0
particle,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
pronoun,1,0,2,0,1,5,1,0,2,1,0,0,1,1,0,3,0,1,1,2,0,1,1,2,1,1,1,2,1,1,2,3,1,0,0,2,1,1,5,4,2,0,2,2,0,4,0
verb,2,5,7,3,3,7,4,10,4,4,2,1,2,6,2,7,4,5,2,10,1,6,3,8,4,10,4,7,1,5,6,6,2,1,3,1,4,4,6,6,5,6,6,4,2,6,0
