,,0,0,0,1,2,1,1,1,0,0,1,1,2,0,0,1,1,1,1,1,3,1,2,0,0,2,1,0,4,0,3,1,1,1,5,2,2,0,0
-LRB-,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
PRP$,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0
RBR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,1,1,3,2,1,4,1,1,1,2,1,2,1,0,2,0,0,4,2,3,5,4,6,2,1,1,0,1,6,0,2,2,3,3,3,7,4,0,0
adverb,1,1,1,1,1,3,1,3,2,1,2,1,0,5,3,0,0,2,0,1,3,2,2,0,1,1,1,1,1,1,2,1,0,3,2,1,1,0,0
article,2,0,3,3,5,2,2,2,3,4,5,2,2,2,1,1,2,2,4,2,5,5,9,3,0,5,3,1,6,0,3,2,5,9,8,5,3,1,0
conjunction,5,3,7,3,3,7,3,4,3,4,3,3,1,5,0,1,2,2,7,2,10,4,9,3,0,5,2,0,5,0,3,1,5,7,16,9,6,0,0
noun,11,5,9,11,7,9,8,6,5,4,7,8,3,6,3,1,10,7,10,5,9,7,14,3,2,11,5,3,15,1,4,4,10,10,13,6,6,2,0
numeral,1,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
other,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,2,1,0,1,2,2,0,1,0,1,0,0,2,0,1,1,0,2,2,1,1,1,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
pronoun,1,0,0,0,1,3,0,1,2,0,0,1,1,3,0,2,0,0,1,1,1,0,1,1,0,0,1,0,4,2,1,0,0,1,6,1,0,0,0
verb,6,1,4,2,4,3,3,6,2,1,5,3,4,5,3,2,3,3,3,3,10,8,6,2,1,2,4,2,8,2,7,3,3,7,13,4,4,0,0
