,,0,4,2,5,4,2,1,0,3,0,0,1,3,0,0,1,0,1,3,0,2,0,0,1,0,0,3,0,1,1,0,1,1,1,7,2,3,2,1,2,2,2,2,0
-LRB-,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PRP$,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,0,1,2,3,6,1,1,0,2,1,0,2,2,1,0,1,0,2,3,0,1,1,0,1,0,0,3,0,2,0,4,2,1,2,8,0,2,4,0,2,2,5,2,0
adverb,0,0,0,1,0,3,1,2,3,1,0,2,0,0,0,0,1,0,1,0,2,0,0,3,1,1,0,2,0,2,0,3,0,2,6,3,3,0,0,1,0,2,3,0
article,2,10,4,4,7,7,1,0,8,1,0,6,3,1,3,0,2,1,2,1,0,1,0,1,0,2,3,0,3,1,2,1,1,4,7,4,5,2,1,2,4,5,3,0
conjunction,3,11,5,5,6,8,2,1,3,1,0,9,6,2,3,2,1,2,3,1,0,1,1,4,0,3,4,1,2,1,1,4,1,7,7,5,8,1,1,0,4,4,1,0
noun,7,12,8,6,15,11,1,1,10,1,1,10,5,3,5,1,4,2,6,2,1,2,3,6,0,5,6,1,3,0,3,1,1,4,10,6,6,2,0,1,7,8,4,0
numeral,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
other,0,0,1,1,0,0,0,0,4,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,2,1,0,0,2,3,1,0,0,0,3,2,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
pronoun,0,1,1,1,0,0,3,1,4,1,4,3,4,2,0,1,1,3,1,1,0,0,0,2,1,0,3,2,3,1,0,1,1,4,0,0,2,1,3,1,1,2,2,0
verb,1,4,6,4,4,3,5,5,11,1,2,9,10,4,1,2,1,3,4,1,1,1,1,2,2,3,7,1,3,2,1,4,2,2,8,4,7,4,4,2,5,6,4,0
