,,0,0,3,1,1,1,2,4,1,4,1,3,1,1,1,0,0,0,0,2,0,4,3,0,4,1,0,3,3,1,1,4,4,2,2,0,0,0
-LRB-,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PRP$,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
adjective,2,7,4,2,2,2,1,6,1,3,1,5,5,1,5,0,2,0,0,4,1,5,2,0,2,0,1,1,4,0,2,3,2,3,2,3,1,0
adverb,0,0,0,0,2,2,0,0,3,3,3,1,2,0,0,0,0,0,0,1,2,1,2,2,4,1,1,3,1,1,2,4,1,3,0,1,1,0
article,2,6,2,2,2,4,5,5,3,7,3,0,8,2,2,0,2,0,1,2,1,5,8,3,5,1,2,2,3,3,0,7,6,4,1,3,1,0
conjunction,2,5,4,5,2,4,2,11,5,7,2,6,6,4,2,0,1,0,1,6,1,9,4,6,1,0,2,8,4,5,0,10,6,6,4,6,1,0
noun,6,8,8,8,3,10,8,17,6,16,6,4,17,11,2,1,3,1,2,13,6,19,9,11,8,4,4,11,9,6,2,11,8,12,5,7,1,0
numeral,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
other,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,2,0,1,2,2,0,0,0,0,0,1,0,0,0,1,0,0
particle,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,0,1,1,1,2,1,2,3,1,2,0,1,0,0,0,0,0,0,0,1,0,1,2,0,1,0,1,0,0,0,0,6,1,2,0,0,0,0
verb,3,2,4,3,3,3,4,4,5,9,2,3,2,3,1,0,2,0,1,2,2,5,4,3,7,4,3,3,6,3,2,8,8,6,4,4,2,0
