,,2,3,0,1,2,0,0,0,5,0,1,3,0,1,2,2,4,3,0,0,0,2,0,3,1,1,3,0,4,2,1,3,2,2,1,0
-LRB-,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
:,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PRP$,0,0,0,2,1,1,1,1,0,0,1,0,1,0,0,2,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0
RBR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,2,3,1,3,2,2,0,2,3,0,6,4,2,1,1,2,7,3,0,0,0,1,0,4,0,4,4,1,4,1,1,3,3,1,2,0
adverb,2,0,0,0,1,7,1,1,7,2,0,7,1,0,3,1,5,1,0,0,0,2,0,2,0,2,1,0,1,2,1,1,1,0,3,0
article,5,3,1,5,2,3,0,2,3,0,4,3,1,7,4,3,9,6,0,0,0,3,3,7,4,4,6,2,8,3,3,6,3,3,2,0
conjunction,5,2,0,6,2,4,0,3,6,2,8,6,0,5,3,8,12,7,0,0,0,4,2,6,4,9,7,3,6,2,3,10,4,4,1,0
noun,9,3,1,10,2,6,1,6,8,0,8,6,4,9,8,11,17,12,1,1,1,8,3,9,7,11,7,4,12,5,5,16,5,7,1,0
numeral,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
other,1,0,0,1,1,1,0,3,1,0,1,1,1,3,2,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,4,0,0,0,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
pronoun,0,3,1,1,3,4,1,1,2,2,3,3,1,2,1,1,2,2,0,0,0,2,1,1,0,5,1,1,1,0,1,1,0,1,0,0
verb,3,4,2,7,5,5,2,8,10,1,4,8,5,5,3,4,7,6,0,0,0,8,3,4,3,6,5,2,3,3,6,8,6,4,2,0
