'',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,,1,2,1,0,0,0,2,1,2,1,2,3,1,2,1,1,1,2,2,0,0,1,1,1,1,1,1,0,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PRP$,2,0,1,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
adjective,1,1,4,1,2,0,6,2,4,2,4,5,3,2,1,1,0,0,3,0,0,3,4,6,4,0,1,2,0
adverb,1,0,3,1,0,0,4,2,3,1,2,3,4,2,3,1,3,1,2,2,3,3,3,2,1,3,1,3,0
article,2,3,5,2,1,3,4,3,5,2,1,3,3,4,2,4,4,1,7,2,5,1,1,2,3,4,6,3,0
conjunction,5,4,6,2,0,1,6,3,9,7,3,7,4,5,3,5,7,2,7,3,8,6,4,6,10,2,6,3,0
noun,5,3,11,5,1,6,9,5,15,12,10,9,4,13,7,12,12,4,13,3,12,9,13,8,13,5,9,4,0
numeral,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
other,3,1,3,1,0,1,0,0,1,2,3,3,2,2,2,3,1,0,4,2,2,1,2,2,3,1,2,2,0
particle,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0
pronoun,2,1,2,3,0,0,0,0,0,3,1,0,1,2,0,1,2,0,1,1,1,3,1,1,4,0,0,2,0
verb,4,3,9,3,1,3,7,3,5,7,4,10,7,9,4,4,8,3,11,3,5,7,9,5,12,3,5,4,0
