,,0,1,4,0,0,0,1,0,6,0,0,0,0,1,1,0,2,2,1,0,2,0,1,1,1,0,1,0,1,0,3,1,1,1,0,1,0,5,1,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PRP$,0,0,3,0,1,2,0,1,2,0,0,0,1,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,2,0,1,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
adjective,1,0,3,1,2,2,0,3,7,2,0,1,0,0,1,0,4,0,3,1,4,1,1,2,0,0,0,0,2,2,1,1,4,4,1,2,3,5,1,0
adverb,1,0,2,1,1,1,2,0,1,1,0,0,1,1,1,0,1,1,1,0,2,1,0,1,0,2,1,0,2,1,2,3,2,1,1,1,1,1,1,0
article,1,0,1,0,0,1,1,3,11,5,0,2,0,4,3,2,0,2,6,0,7,1,3,5,4,0,4,0,0,3,2,1,7,4,2,3,5,10,1,0
conjunction,1,2,4,3,1,4,6,2,8,3,2,0,2,3,4,1,5,4,6,2,4,0,4,5,2,2,5,2,0,3,3,2,9,6,3,4,8,8,3,0
noun,2,3,10,2,3,5,11,4,16,5,1,4,4,8,7,1,6,5,9,2,7,1,8,8,4,3,5,1,2,3,3,3,13,13,4,4,11,23,4,0
numeral,0,0,1,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
other,0,0,3,0,1,0,1,2,3,1,0,1,2,2,1,1,1,0,1,0,1,1,1,2,3,1,0,0,2,1,2,0,1,2,2,0,2,3,0,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
pronoun,0,1,1,1,0,0,2,0,2,1,1,0,0,3,0,0,0,1,1,0,1,1,0,0,0,0,0,2,2,1,1,0,3,0,3,1,0,0,2,0
verb,1,3,3,2,2,3,7,4,8,2,0,2,4,5,3,3,7,5,5,1,4,4,3,3,4,1,1,2,4,1,4,2,11,9,5,5,6,11,4,0
