,,1,0,0,0,2,1,1,0,0,0,1,0,3,0,1,0,2,0,0,0,3,1,1,0,1,0,0,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RBR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,4,1,3,0,1,1,0,2,2,6,2,3,4,2,4,0,2,0,3,1,5,2,2,3,2,2,1,0
adverb,2,3,1,2,0,0,0,1,1,2,4,1,2,0,1,0,0,0,1,3,2,0,0,2,0,0,1,0
article,4,8,4,1,5,0,5,4,3,6,5,2,3,3,6,2,3,1,3,2,4,2,4,4,6,4,1,0
conjunction,4,7,2,1,3,1,5,1,5,8,4,3,2,2,6,5,3,1,4,3,4,0,4,5,4,5,1,0
noun,6,10,3,0,8,2,8,6,6,11,5,3,9,4,13,7,6,1,6,3,14,2,6,4,8,6,3,0
numeral,0,1,0,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
other,0,1,0,0,0,0,1,0,0,0,1,0,2,0,1,0,1,0,1,1,2,2,1,1,1,0,2,0
pronoun,0,0,0,1,0,0,1,2,0,0,2,2,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
verb,3,6,3,1,7,1,6,4,2,2,6,3,3,2,8,2,2,2,6,6,2,4,4,8,4,4,5,0
