Adv,0,0,0,0,1,0,3,1,1,0,6,0,2,3,0,2,5,3,3,4,1,1,1,1,3,1,2,1,4,2,1,1,3,1,1,4,2,1,1,3,1,0,0,1,2,1,2,0,6,0,1,3,0,0,1,3
Art,3,3,3,0,0,4,5,1,5,1,7,2,2,1,5,8,4,4,2,13,5,2,1,5,2,1,1,5,3,8,0,2,1,3,2,3,2,1,2,3,3,2,7,7,5,3,15,4,3,4,0,3,0,1,1,5
Int,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Num,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,2
Prep,2,4,2,2,4,2,6,3,3,5,8,1,1,2,6,5,4,4,2,11,6,6,4,6,6,2,2,7,5,5,1,1,0,2,2,8,2,2,1,3,3,1,5,4,7,3,9,5,4,3,2,4,1,3,3,7
Pron,1,1,0,2,5,0,2,1,1,4,5,0,3,3,1,2,1,0,0,6,2,0,8,3,2,0,2,2,4,2,0,1,3,1,1,4,1,4,0,0,2,2,1,5,5,5,2,3,4,4,1,7,6,1,1,0
Punc,3,2,0,0,1,3,3,1,2,4,3,2,3,1,2,9,1,2,2,8,4,1,1,1,1,3,0,2,3,5,0,2,2,3,1,4,2,2,1,1,1,2,3,5,3,1,6,1,2,1,0,2,0,1,1,1
adjective,3,2,1,4,2,1,7,1,2,3,5,1,2,2,2,3,5,0,3,7,4,2,3,1,2,9,2,4,6,5,2,2,1,1,0,5,0,5,3,0,0,0,4,8,5,0,7,4,5,4,1,3,0,2,1,0
conjunction,4,1,0,2,1,1,2,1,1,3,2,0,2,1,1,5,2,2,1,5,1,2,1,2,1,5,2,2,3,3,0,3,2,2,1,0,0,0,0,1,1,1,2,3,1,0,3,0,1,1,0,2,1,1,0,1
noun,7,7,4,4,5,9,9,5,7,10,13,4,10,5,10,19,8,11,5,20,8,7,3,9,12,6,6,14,11,10,3,3,2,5,2,10,4,4,2,3,4,2,11,9,11,4,19,7,7,6,4,8,2,4,5,9
verb,6,4,2,1,4,2,5,4,4,3,7,1,4,2,2,5,5,1,3,11,4,1,6,6,1,2,3,4,4,7,2,2,3,4,2,2,2,2,3,1,1,2,1,5,3,4,5,2,6,2,3,6,3,4,3,2
