Adv,2,3,0,3,0,0,2,1,2,4,1,0,4,1,3,2,2,2,1,2,1,3,1,1,2,1,0,1,2,2,0,0,1,0,2,1,3,3,1,1,0,1,0,0,1,2,3,0,2,4,1,2,0,2,0,1,1,1,0,1,3,1,2,2,0,0,1,1,0,0,4,2,0,5,1,0,1,1,3,4,0,3,3,0,0,2,2,1,2,1,2,0,3,2,0,2,1,2,0,0
Art,3,5,2,0,1,1,4,6,0,1,3,3,1,3,3,1,1,1,4,1,5,1,2,1,1,1,0,0,8,3,0,1,3,1,2,2,1,0,0,1,1,0,1,2,1,1,2,1,0,3,1,2,1,2,1,0,3,0,3,1,3,2,2,1,2,0,3,0,1,1,1,6,2,1,0,1,0,2,0,2,0,0,1,2,1,1,1,3,2,1,6,1,1,2,0,2,1,0,1,0
Num,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,1,0,0,2,0,1,0,0,2,3,0,0,0,0,1,0,0,2,2,0,0,2,0,1,1,0,2,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,4,0,2,1,0,0,0
Prep,3,4,3,1,1,1,2,4,1,2,3,6,2,2,5,1,0,0,3,1,4,2,0,1,3,2,1,1,7,3,1,1,4,0,2,2,4,1,1,1,2,0,0,3,2,2,5,2,0,1,4,2,2,2,2,0,4,1,3,4,4,2,2,3,2,3,2,0,2,1,2,3,0,0,1,2,3,4,1,2,1,0,0,2,1,1,1,2,3,3,3,1,2,3,0,3,1,1,0,0
Pron,2,1,0,1,1,1,1,1,0,2,0,0,2,0,2,0,0,0,3,1,0,0,4,2,0,0,1,1,2,2,2,1,2,0,0,0,2,2,1,0,5,1,0,2,1,1,0,1,1,3,1,0,0,0,0,1,1,3,2,2,1,1,1,1,5,3,1,2,2,2,0,2,0,2,1,4,0,0,3,2,1,1,1,2,0,3,1,1,2,0,0,0,2,1,1,5,0,2,2,0
Punc,1,3,0,1,0,0,2,5,0,1,0,4,1,0,0,0,0,0,4,2,2,0,0,0,0,0,0,4,2,1,1,0,1,0,0,1,2,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,2,0,1,0,2,1,2,0,0,0,0,2,1,1,0,3,2,0,0,1,0,1,0,0,0,1,0,0,0,2,2,1,2,0,0,0,0,2,1,1,0,1
adjective,1,1,2,2,1,1,5,4,0,2,0,1,1,1,1,0,0,0,5,0,2,3,0,2,3,1,1,2,2,1,0,0,2,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,3,2,0,0,0,0,0,0,0,3,1,1,0,0,1,1,0,2,1,2,0,0,0,1,0,1,0,0,1,0,2,3,1,0,1,0,1,0,2,1,0,1,1,0,1,1,2,1,0,1,0
conjunction,1,2,0,1,1,0,1,1,1,2,0,2,1,1,1,0,0,0,0,0,2,1,0,0,1,0,0,1,2,2,1,1,2,0,0,0,3,0,0,0,3,1,0,1,0,0,2,0,1,0,3,1,0,0,0,0,2,1,1,1,3,0,2,2,2,1,1,0,0,0,2,1,0,1,1,0,0,2,1,2,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,2,0,0,0
noun,8,6,6,5,2,3,5,16,1,5,5,11,3,4,6,2,2,2,10,3,8,3,3,2,6,4,3,9,10,7,0,4,6,1,4,3,9,2,3,3,4,1,2,4,2,4,5,2,2,4,8,5,4,6,3,1,8,1,5,2,10,2,8,5,4,4,5,3,2,4,4,5,1,2,7,2,2,6,3,6,3,3,1,7,2,1,3,6,4,1,10,3,3,5,0,6,3,2,1,0
verb,3,2,2,4,3,0,6,2,2,3,3,4,5,2,4,0,3,2,1,4,6,2,2,1,2,3,1,1,5,3,1,3,3,1,3,1,4,1,1,1,6,1,1,1,2,2,2,1,3,3,3,2,0,1,2,1,1,3,3,3,3,1,3,3,3,2,1,2,0,1,3,2,1,3,1,1,2,1,3,3,1,3,1,3,1,3,1,3,3,4,3,3,1,2,1,2,1,3,1,0
