Adv,2,2,3,0,1,3,0,0,3,2,0,1,2,1,1,1,0,2,2,1,3,1,3,1,1,4,0,1,2,2,0,0,2,4,1,1,1,0,1,0,0,1,1,2,0,0,2,0,1,2,1,4,0,0,1,2,1,2,1,2,0,2,0,2,2,0,0,5,0,1,1,5,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,1,0,0,1
Art,0,0,3,0,0,0,3,1,0,5,2,0,0,0,0,0,1,2,1,2,5,9,2,1,2,2,4,0,0,3,0,2,6,2,0,3,2,0,4,3,1,3,2,2,3,2,1,2,3,1,1,1,3,0,1,0,1,1,0,2,2,2,1,1,2,1,1,0,0,2,1,2,2,1,3,1,0,3,1,0,3,1,3,2,2,3,0,1,1,0,1
Num,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,3,0,4,3,0,0,0,0,0,0,0,1,0,0,0,0,1,2,3,0,1,0,0,0,0,0,0,3,2,1,0,1,0,0,0,0,1,0,0,0,0,0,2,1,1,0,2,1,0,0,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0
Prep,1,2,2,0,0,1,2,0,0,4,1,2,0,1,0,1,3,1,0,1,6,9,1,3,4,1,6,5,2,4,0,3,6,1,1,1,1,1,5,2,1,2,2,1,3,2,0,0,4,2,3,2,6,0,1,0,2,1,0,3,1,2,0,2,1,3,2,2,0,3,1,3,2,1,2,2,1,1,0,0,3,4,4,2,2,2,2,3,1,0,1
Pron,1,0,0,2,1,2,3,1,4,1,2,4,2,3,0,1,0,1,1,0,0,0,1,2,2,1,2,3,3,2,2,1,3,3,1,0,0,2,1,0,1,0,0,0,0,0,1,0,0,1,0,2,4,0,1,1,1,0,1,1,1,3,0,0,0,3,0,1,0,0,0,0,3,4,1,2,1,0,0,1,3,3,2,2,0,0,1,5,2,2,3
Punc,0,1,0,1,2,1,2,0,0,1,0,1,0,0,1,0,0,0,0,0,1,4,1,2,0,0,1,1,2,1,0,1,4,2,0,0,0,1,1,0,0,2,0,0,0,0,0,1,4,0,0,1,1,0,0,0,1,0,0,2,0,1,0,0,0,2,0,1,0,2,0,2,2,0,0,1,0,0,0,0,1,2,1,0,0,0,0,2,0,0,0
adjective,0,3,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,2,3,5,2,1,2,2,1,0,1,1,0,1,2,1,0,1,0,1,2,1,0,2,3,0,1,0,1,1,0,2,1,1,1,0,1,0,3,0,1,2,0,1,3,0,2,0,0,0,0,2,3,0,2,2,2,1,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0
conjunction,1,0,0,1,0,2,2,0,2,1,1,0,1,1,1,0,2,0,1,0,2,2,0,3,0,1,2,2,1,0,1,2,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,2,0,0,1,2,1,1,0,1,1,0,1,1,0,3,1,1,1,0,1,1,0,1,0,2,0,0,1,2,0,1,0,1,1,2,0,0,0,0,0,2,0,0,2
noun,3,5,4,1,0,2,2,2,1,5,2,1,1,2,1,3,3,2,0,3,7,22,4,11,6,3,8,4,8,5,1,3,12,3,2,3,2,4,4,4,3,8,3,2,5,3,1,3,14,2,4,2,9,0,1,0,2,2,0,6,2,3,1,3,2,6,2,4,1,4,3,8,3,1,2,3,2,3,1,0,3,6,6,3,3,3,4,4,2,1,2
verb,3,1,1,2,3,5,6,2,3,5,1,4,2,2,1,1,2,1,2,2,4,2,5,3,3,3,6,5,2,3,1,4,4,5,1,4,3,1,2,4,1,2,2,1,0,1,1,5,0,2,3,5,2,0,2,2,3,1,1,1,1,4,1,3,1,1,0,2,0,1,1,6,5,3,2,3,2,1,0,2,4,3,3,1,2,1,3,3,1,2,2
