Adv,1,1,0,0,0,1,0,0,1,4,4,5,0,2,2,1,3,4,0,3,0,3,2,4,2,0,0
Art,3,0,1,0,2,0,2,0,2,3,1,5,1,1,1,8,0,5,2,1,3,0,0,3,1,2,0
Num,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
Prep,4,1,2,1,0,0,1,0,2,5,2,9,2,1,3,7,1,5,2,1,3,1,1,4,1,2,0
Pron,1,2,0,0,0,1,0,0,2,3,0,1,2,1,1,4,1,5,3,2,0,2,2,0,2,3,0
Punc,2,0,0,0,0,0,0,0,0,3,0,0,0,1,1,2,0,1,0,0,0,0,0,1,2,1,0
adjective,2,1,1,1,1,3,0,1,1,3,0,0,1,2,0,3,0,4,1,1,2,0,1,2,1,2,0
conjunction,1,0,0,0,2,0,0,0,2,1,1,6,0,0,3,2,1,6,1,2,1,1,2,1,0,0,0
noun,8,3,3,3,3,0,2,2,3,8,3,10,2,3,6,12,1,9,4,1,8,0,1,4,2,3,0
verb,3,2,0,1,1,1,1,1,3,4,1,4,3,3,10,6,1,6,2,6,2,1,2,3,1,3,0
