'',0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,2,1,1,1,1,2,0,4,1,0,0,0,3,0,1,0,1,0,0,2,3,1,1,2,0,3,2,1,3,3,0,1,0,0,2,0,0,2,0,2,0,0,0,1,0,0,2,0,3,0,1,2,0,1,2,0,0,0,0,3,2,0,0,1,0,1,2,4,3,0,0,1,2,1,0,0,7,0,3,0,2,0,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
RBR,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
``,0,0,0,0,0,0,0,1,1,1,0,0,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,4,2,0,2,2,1,2,5,0,1,0,0,1,4,2,0,2,0,0,1,7,3,3,5,1,2,3,2,1,0,0,1,1,2,5,3,0,1,3,2,1,0,2,2,1,1,1,0,3,2,1,6,0,1,2,0,2,0,1,0,0,4,0,1,0,1,2,1,0,3,0,2,3,3,3,3,3,0,2,1,3,1,0
adverb,3,1,0,4,3,3,0,3,0,0,2,1,3,0,1,2,1,0,0,4,2,5,0,1,0,4,1,1,0,6,0,0,0,1,0,1,0,2,0,2,0,1,1,0,0,0,1,2,1,5,2,1,0,0,0,0,0,4,0,0,1,0,0,0,0,1,2,2,1,2,0,0,2,1,1,1,2,1,2,0,0,1,0
article,5,3,0,2,5,2,2,7,2,1,1,0,3,6,2,1,1,0,1,0,7,4,4,2,0,5,3,1,7,2,1,5,3,1,3,2,2,4,4,4,1,3,0,0,1,1,2,1,5,3,4,2,1,3,5,1,0,1,0,2,1,4,2,1,1,1,7,3,0,5,2,2,5,5,4,2,4,0,0,1,2,3,0
conjunction,9,2,4,1,9,7,3,14,3,0,2,1,4,6,2,1,2,0,0,2,9,6,7,4,0,6,7,3,7,3,1,4,4,3,6,2,1,4,5,7,3,2,0,0,1,0,2,0,14,7,3,1,0,4,5,0,1,6,0,2,3,8,0,5,0,4,7,3,2,7,1,3,9,3,2,7,14,1,4,1,8,1,0
noun,14,3,4,3,7,9,4,19,5,1,2,1,8,10,3,2,3,0,1,3,13,11,13,6,1,15,6,3,15,2,4,7,7,3,9,4,2,4,6,5,8,5,2,2,0,1,4,2,19,9,6,5,4,5,8,3,0,4,0,9,5,10,4,8,5,7,9,6,9,11,2,7,14,5,4,9,14,0,4,4,8,3,0
numeral,3,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
other,0,0,0,0,0,1,0,1,1,0,1,0,0,2,0,0,1,0,0,1,0,0,2,1,0,0,0,0,3,3,0,0,2,0,1,2,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,2,2,0,1,1,0,3,0,1,2,4,3,1,0,1,3,0,1,1,0,0,3,1,0,2,1,0,1,0,2,0,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
