'',0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
,,1,1,0,2,0,2,0,1,2,2,1,1,2,2,0,2,1,0,2,0,2,0,2,0,2,1,1
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
``,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0
adjective,2,1,0,4,0,1,1,0,4,1,1,4,2,0,0,0,4,0,1,1,0,0,5,1,1,0,0
adverb,0,1,1,0,0,1,0,3,1,1,0,3,0,1,0,0,3,0,0,1,0,0,2,0,0,0,1
article,4,3,0,4,1,2,4,1,1,3,2,4,1,1,0,0,3,2,0,1,3,0,3,0,4,1,1
conjunction,7,3,1,6,3,6,3,1,4,6,4,5,2,0,0,1,5,2,3,1,7,0,3,0,2,1,1
noun,15,6,1,11,1,10,11,5,12,8,7,12,5,3,0,2,9,5,5,4,8,1,4,4,12,3,2
numeral,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
other,0,0,0,2,0,2,1,2,1,1,0,0,1,0,0,0,2,0,0,1,0,0,0,1,3,0,1
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
pronoun,0,0,0,0,1,3,0,3,0,0,3,1,2,1,2,1,2,0,0,3,1,0,1,0,1,0,3
verb,2,1,0,2,3,6,2,8,5,3,5,5,7,2,2,2,7,2,4,6,1,1,3,1,8,1,6
