'',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
,,0,0,3,0,0,1,0,0,2,1,1,1,0,0,3,0,0,1,2,2,6,0,1,0,0,1,2,0,1,2,2,0,0,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
``,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
adjective,3,1,1,1,1,2,0,1,1,6,2,1,5,1,3,1,5,3,3,1,7,4,3,2,2,0,3,4,2,2,3,3,0,0
adverb,0,2,0,1,0,1,1,2,0,0,1,1,0,0,0,2,1,4,1,1,4,0,0,2,2,1,2,1,0,0,0,3,0,0
article,2,0,4,4,2,2,2,1,3,3,2,7,2,0,3,4,8,4,4,2,4,2,1,0,4,3,8,5,1,5,3,4,2,0
conjunction,0,1,5,4,3,0,0,1,2,2,4,6,2,3,3,2,6,4,4,5,2,3,1,3,4,5,7,6,8,11,5,2,1,0
noun,3,3,8,7,4,3,2,2,6,8,8,13,6,7,9,5,6,8,10,12,8,2,3,0,7,8,10,8,13,17,13,5,3,0
numeral,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
other,2,2,2,1,0,0,0,0,0,0,1,1,1,0,1,1,0,3,1,3,1,1,1,1,1,3,1,2,3,0,1,4,0,0
particle,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pronoun,1,1,2,3,1,2,0,0,0,0,0,2,0,0,1,0,0,0,1,0,4,0,0,2,1,0,0,0,3,2,2,0,0,0
verb,2,3,5,4,1,3,2,1,1,3,4,2,3,2,2,5,5,5,6,4,11,4,3,5,4,4,3,3,6,10,3,5,1,0
