'',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,0,1,0,0,0,1,0,2,1,0,0,1,0,1,3,2,1,2,0,4,1,0,0,1,1,0,1,0,0,0,0,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
:,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRP$,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
``,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,4,0,2,1,2,2,0,2,2,0,2,2,0,1,1,0,2,4,2,4,1,1,2,1,1,1,2,0,0,0,1,0
adverb,1,1,1,0,0,0,0,1,0,1,5,1,1,0,0,2,2,2,1,0,0,1,0,0,1,1,1,1,1,0,0,0
article,5,1,1,4,4,1,0,6,8,1,5,1,1,4,4,3,4,2,2,6,0,0,2,3,4,2,3,1,2,2,2,0
conjunction,5,2,1,2,6,4,1,4,10,0,4,6,0,5,8,5,5,3,1,5,2,2,1,4,2,2,1,0,2,2,2,0
noun,9,7,3,6,8,3,2,10,18,3,9,11,1,7,11,3,12,9,4,9,3,4,3,6,5,4,3,1,5,3,7,0
numeral,1,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0
other,2,1,0,2,1,2,0,1,3,1,2,0,0,1,0,0,2,2,0,1,0,1,0,0,0,0,1,0,1,1,1,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,0,0,0,0,1,2,1,0,1,0,1,1,0,1,2,4,2,3,0,0,0,0,0,1,0,0,1,0,0,1,0,0
verb,2,2,2,4,4,6,2,2,6,1,7,2,2,3,6,7,8,5,1,3,1,1,1,3,3,1,2,1,3,4,1,0
