Adv,2,3,1,1,0,3,4,3,1,3,1,2,1,2,0,0,2,0,1,0,1,0,0,2,3,1,3,2,5,1,4,1,0,2,0,4,1,4,2,0,6,5,4,1,2,4,0
Art,1,0,5,2,0,0,3,10,0,0,2,2,6,0,1,3,1,1,1,2,1,0,0,0,1,1,2,3,1,0,0,2,1,2,2,2,2,4,1,3,2,2,5,3,2,0,0
Misc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Num,0,1,1,1,1,0,0,5,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,1,1,1,2,1,1,2,2,0,0,0,1,0,0
Prep,2,1,4,3,0,1,4,12,0,0,2,1,3,2,2,2,0,2,4,2,3,1,0,1,2,0,4,1,3,1,0,2,1,1,3,3,2,7,3,2,5,2,4,3,3,0,0
Pron,0,0,3,1,1,1,4,2,1,1,1,2,2,1,1,2,1,0,3,1,3,2,2,3,5,1,6,0,1,1,0,1,1,2,0,1,0,0,1,4,5,4,3,1,0,0,0
Punc,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,1,0,1,0,0
adjective,1,1,4,0,1,0,3,2,2,0,0,0,3,1,1,1,2,2,3,0,1,0,1,4,1,0,1,1,2,1,0,1,0,1,0,4,3,3,0,1,3,4,0,4,2,0,0
conjunction,0,0,0,1,0,0,2,3,0,0,1,1,1,1,0,1,2,0,1,2,2,0,2,2,3,0,2,0,3,1,0,0,1,0,1,3,2,1,0,3,4,2,1,1,1,0,0
noun,5,0,7,5,0,2,6,14,0,1,2,4,6,3,2,4,4,3,4,9,4,1,1,2,3,1,6,3,9,4,2,4,4,6,6,9,5,10,2,5,9,8,7,5,5,1,0
verb,4,3,7,1,1,0,4,6,0,0,1,2,5,2,1,3,3,1,2,1,6,1,3,2,4,1,5,2,5,3,2,3,4,2,1,7,1,4,3,5,7,8,5,1,2,2,0
