Adv,3,6,2,1,1,7,3,0,1,1,2,2,4,2,2,2,1,1,3,3,2,1,2,0,3,3,2,1,2,3,4
Art,1,2,0,1,4,1,3,1,0,1,3,2,2,2,3,5,3,3,0,1,3,1,3,0,2,1,1,3,4,4,1
Num,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
Prep,1,5,0,1,2,1,3,2,2,1,1,0,2,3,2,4,2,4,0,0,2,1,6,1,3,4,0,3,1,4,2
Pron,1,8,1,2,0,2,2,3,0,1,0,3,3,2,2,0,1,1,1,0,2,0,2,1,0,4,0,0,1,2,3
Punc,0,6,0,1,2,2,0,0,1,0,0,1,2,0,0,0,2,1,0,0,1,0,0,0,0,3,0,0,0,1,1
adjective,0,5,1,1,1,0,0,1,2,2,1,3,2,1,0,1,2,3,0,0,1,2,3,1,2,1,0,2,0,3,1
conjunction,0,5,1,4,1,1,3,1,1,2,1,1,3,2,1,2,2,1,0,0,4,2,3,0,1,6,0,0,0,4,3
noun,1,8,1,2,7,1,2,3,3,1,2,2,5,3,1,9,4,6,1,1,5,2,3,1,3,12,1,3,4,6,4
verb,2,4,1,3,2,4,6,1,0,1,2,5,8,4,3,2,1,3,1,1,5,3,6,1,2,5,1,1,2,6,7
