,,1,0,3,5,0,0,1,1,3,1,1,0,0,1,5,0,2,0,0,0,5,4,1,1,1,3,0,0,0,2,2,1,4,1,1,2,1,1,1,0,1,2,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
:,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0
PRP$,1,0,0,2,0,0,1,1,0,2,0,0,0,3,0,0,2,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,2,0,0,1,0,0,2,0,0,1,0
RBR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
adjective,4,1,5,7,0,1,2,3,3,5,2,0,1,5,0,0,3,2,1,4,2,4,2,1,1,2,0,2,2,2,3,1,2,2,1,1,2,5,5,3,2,6,0
adverb,2,2,3,2,1,0,0,0,3,1,3,1,1,0,0,1,2,0,2,1,3,0,3,1,1,0,1,2,1,0,3,2,1,1,1,2,2,1,2,3,1,0,0
article,7,1,7,6,3,2,1,3,6,8,0,4,3,2,3,3,2,3,4,3,4,5,3,3,2,3,0,2,2,3,1,2,2,3,1,1,1,3,1,4,8,5,0
conjunction,10,0,11,11,2,6,6,1,7,12,0,1,4,5,5,4,4,4,4,6,9,10,5,4,5,5,1,4,3,3,5,3,9,7,3,2,3,2,6,9,17,9,0
noun,15,2,15,11,3,4,9,5,7,19,1,4,5,7,8,5,8,5,7,7,9,19,9,6,9,8,2,7,4,5,6,4,17,13,5,3,6,5,11,6,22,9,0
numeral,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
other,1,0,2,3,0,0,0,1,1,3,0,0,0,0,0,0,1,0,0,0,2,1,2,0,0,2,1,2,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0
particle,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
pronoun,1,0,1,1,0,2,1,1,0,5,0,0,1,1,1,0,1,0,0,4,8,1,1,2,3,2,2,1,1,1,2,4,2,1,1,0,2,1,1,5,5,0,0
verb,4,1,7,7,1,3,1,3,3,13,0,2,1,2,8,2,7,2,3,4,10,5,7,5,4,4,4,5,4,1,6,7,9,4,2,2,4,2,3,4,7,7,0
