,,0,0,0,0,1,0,0,3,0,0,1,1,2,3,1,0,2,1,0,1,0,0,2,2,1,0,0,0,4,3,1,2,2,2,5,2,0
:,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PRP$,0,0,1,0,0,2,0,2,0,1,0,0,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,1,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
adjective,2,4,1,1,2,0,3,4,0,0,0,2,1,2,1,1,5,1,2,2,2,4,2,2,2,2,0,5,5,3,2,0,0,2,3,2,0
adverb,1,1,1,0,0,0,0,1,0,1,1,2,1,1,3,0,0,2,0,2,1,1,0,1,0,1,2,3,3,1,0,1,0,1,2,1,0
article,1,7,1,2,2,3,7,4,0,2,2,2,2,3,3,0,3,3,0,8,2,5,1,2,2,0,5,1,6,4,1,2,2,2,3,3,0
conjunction,2,6,1,3,2,4,4,8,0,2,1,3,5,6,1,2,7,4,1,6,3,3,0,4,1,1,4,1,8,6,3,3,2,3,7,3,0
noun,3,31,2,5,5,9,13,17,1,5,5,5,10,13,3,0,8,5,0,14,7,4,3,7,3,3,5,4,12,6,7,4,6,11,14,4,0
numeral,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
other,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,1,1,0,0,2,0,1,0,0
particle,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
pronoun,0,1,0,0,1,2,1,0,1,0,1,2,0,2,0,2,2,3,1,0,0,0,0,0,0,0,1,2,1,2,1,1,1,1,0,0,0
verb,2,7,3,4,2,2,4,7,1,3,1,2,3,10,3,7,4,6,0,5,3,4,3,6,1,1,2,5,6,5,3,4,4,4,6,4,0
