,,7,5,2,1,4,5,2,4,1,2,4,6,1,2,1,2,1,2,2,2,3,1,1,2,2,2,2,0,1,0,2,2,5,1,1,1,0,2,3,3,1,1,1,2,2,2,3,1,1,1,1,5,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,1,0,0,0,0,4,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,2,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
PRP$,0,3,1,0,0,2,0,0,0,0,3,0,2,1,1,1,1,1,0,1,0,0,0,2,3,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,0,1,1,0,0,0,0,1,0,2,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
adjective,9,0,0,3,1,9,1,2,2,5,3,1,2,5,4,1,3,3,4,2,3,3,2,3,3,4,5,2,2,0,0,3,2,2,2,0,0,2,1,7,1,2,2,1,3,3,4,2,2,0,2,0,0
adverb,5,3,0,0,1,2,0,4,0,2,2,3,0,1,2,1,3,1,0,5,3,3,0,1,6,3,4,0,2,1,1,2,1,1,0,2,1,2,2,3,2,1,1,0,2,0,2,0,3,0,5,5,0
article,7,6,2,4,0,7,5,4,1,4,3,6,1,1,4,2,5,0,3,1,3,5,1,6,6,4,1,2,3,0,1,1,5,4,5,0,1,4,0,6,6,1,3,1,2,3,1,3,1,2,5,4,0
conjunction,8,7,1,4,2,11,2,7,1,8,7,9,5,2,7,3,6,4,6,5,4,2,0,10,16,7,3,2,4,2,4,2,8,3,5,0,0,5,3,10,5,2,2,5,8,3,4,3,3,2,5,5,0
noun,16,12,8,9,7,22,4,9,2,12,9,15,5,3,12,4,8,6,6,6,6,7,2,10,17,8,1,4,4,0,0,7,12,5,7,2,1,7,4,15,5,6,2,7,6,5,4,9,3,3,8,7,0
numeral,0,0,0,1,0,0,0,2,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,1,0,0
other,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,2,1,0,0,2,0,4,1,2,1,0,1,0,1,0,2,1,1,1,0,0,1,0,0,0,0,1,0,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,5,1,2,0,0,1,0,1,1,1,2,3,3,0,0,1,3,1,0,3,1,1,0,2,3,2,3,0,4,1,5,2,3,0,0,3,1,2,3,1,3,2,1,1,1,0,1,1,0,0,3,3,0
verb,8,7,5,2,2,11,11,6,1,4,6,5,6,3,4,5,5,5,1,5,4,4,1,7,15,5,5,1,5,2,9,6,11,3,3,3,3,9,7,7,9,5,1,4,7,3,4,4,1,3,9,5,0
