,,0,3,1,2,2,3,5,4,2,0,5,6,0,6,4,5,2,1,4,2,1,2,2,0,2,1,1,4,5,5,3,0
.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
:,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
PRP$,0,0,1,0,0,0,0,1,0,1,0,2,1,0,2,1,0,2,2,0,0,1,1,0,2,0,1,1,1,2,2,0
adjective,0,1,3,3,2,3,9,3,1,0,5,8,1,6,9,5,1,3,5,1,0,1,7,0,4,0,1,1,2,2,5,0
adverb,0,3,2,1,0,5,5,0,2,0,0,1,1,1,4,2,1,0,2,3,0,1,5,1,5,0,0,1,7,4,1,0
article,1,1,4,3,2,10,12,5,2,2,6,7,1,8,4,8,3,2,5,6,2,2,5,2,6,3,2,3,7,6,6,0
conjunction,1,7,7,4,3,12,23,9,1,4,6,7,2,13,13,18,8,2,5,8,4,5,11,4,10,3,5,2,13,20,14,0
noun,1,7,18,6,6,13,33,11,6,4,8,12,3,22,15,23,11,4,10,12,8,8,13,5,14,5,7,7,18,27,19,0
numeral,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
other,0,1,0,0,0,0,2,1,2,0,1,3,0,1,1,0,0,3,1,1,0,0,0,0,0,0,1,1,1,1,1,0
pronoun,2,6,2,1,0,2,3,1,2,1,4,2,3,0,1,0,1,1,0,1,0,2,1,0,0,0,2,2,2,2,3,0
verb,1,9,4,2,3,5,10,6,2,4,7,5,2,6,3,2,6,5,5,5,2,9,8,2,6,3,5,3,7,6,6,0
