,,0,1,0,0,3,2,3,6,1,1,4,0,1,4,0,0,2,1,6,1,0,2,3,4,0,0,0,0,2,0,1,1,1,2,7,2,0,2,0,0,0,0,2,2,2,1,1,0
-LRB-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
:,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0
PRP$,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0
RBR,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
adjective,3,0,0,0,1,5,3,6,2,2,1,0,1,10,1,1,3,2,6,4,0,2,0,7,3,1,0,3,4,0,1,1,3,3,5,0,4,1,1,0,1,0,0,9,0,2,0,0
adverb,0,0,0,1,1,0,0,6,0,1,1,0,3,2,2,0,1,2,2,1,1,0,1,1,0,0,0,0,5,3,2,2,2,1,0,0,2,4,0,1,0,0,1,2,0,1,0,0
article,5,1,2,0,0,4,3,6,0,0,2,2,7,4,5,1,1,1,2,5,3,8,3,5,2,1,1,2,3,0,0,1,2,3,9,1,4,3,2,1,1,1,2,14,1,1,0,0
conjunction,8,3,2,1,2,2,4,11,3,3,4,0,5,7,3,2,3,4,8,5,2,9,5,5,4,1,0,2,5,4,1,3,4,5,12,3,7,3,3,4,1,2,6,13,3,5,1,0
noun,11,7,2,4,2,5,8,18,0,6,6,2,7,6,7,1,4,4,14,8,7,17,4,11,5,2,3,5,7,3,4,5,10,6,20,8,10,9,3,5,2,6,12,20,1,3,1,0
numeral,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
other,0,0,0,1,0,0,0,1,0,3,2,1,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,0,0,1,2,0,0,1,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
pronoun,1,2,3,2,2,0,0,2,1,1,1,0,2,0,0,1,0,1,1,0,1,2,2,0,0,0,0,0,0,0,2,0,4,1,1,2,0,1,0,0,0,0,0,2,1,2,1,0
verb,2,3,4,2,2,2,2,13,1,7,3,2,6,4,7,1,1,1,3,4,3,5,4,3,1,1,1,1,3,3,5,2,6,2,7,7,4,9,3,3,0,1,2,6,2,2,2,0
