,,3,2,2,0,0,2,2,1,3,1,0,3,3,0,1,2,3,0,2,0,1,2,5,2,0,3,1,1,0,2,0,2,3,0
-LRB-,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
:,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,1,1,0,1,0,0
PRP$,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0
RBR,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
adjective,3,2,6,2,2,3,4,0,3,1,1,4,7,2,2,2,2,3,3,0,3,3,3,4,3,3,7,2,2,5,2,3,2,0
adverb,0,1,1,0,0,2,1,0,1,1,0,3,1,1,0,3,0,0,0,2,4,1,2,1,1,5,1,2,3,2,3,5,2,0
article,3,2,5,4,3,2,4,4,3,1,3,5,2,2,3,0,4,4,0,0,5,1,6,2,3,1,5,4,0,3,1,5,5,0
conjunction,4,1,10,3,3,3,6,3,4,3,4,7,1,1,3,2,7,9,3,1,7,2,6,4,2,2,4,8,1,6,7,2,6,0
noun,14,4,15,7,6,4,9,7,7,5,14,15,5,3,7,5,10,23,3,3,9,6,13,13,6,6,11,12,3,23,10,7,7,0
numeral,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0
other,1,1,0,0,1,0,1,1,1,0,0,2,1,1,1,0,0,0,0,0,1,1,0,0,3,1,2,1,0,2,0,1,1,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,0,0,2,0,0,1,0,1,1,1,0,2,0,0,0,0,1,0,0,0,6,2,1,0,1,2,2,1,2,1,0,1,3,0
verb,5,3,6,3,2,4,2,3,2,2,3,5,3,3,4,3,2,7,0,1,10,3,2,1,3,6,5,3,4,8,5,5,6,0
