,,5,1,1,0,3,1,2,0,3,2,0,2,0,3,1,1,0,1,0,0,2,2,2,1,2,1,1,1,2,1,1,1,3,1,0,1,0,1,1,4,1,0,1,0,0,1,0,3,5,4,2,2,1,2,0,0,2,1,3,0,1,3,1,1,2,7,2,3,2,2,1,2,0,2,1,2,1,1,1,2,0,4,1,1,1,1,2,3,0,2,2,0,1,2,4,5,0
-LRB-,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
:,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PRP$,1,0,0,0,0,0,1,0,1,0,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,1,4,1,0,0,0,1,0,0,0,2,3,0,0,0,0,1,1,2,1,0,1,1,2,0,0,0,0,3,0,0,4,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,2,0
RBR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
adjective,4,2,1,2,5,4,2,3,4,1,1,1,0,2,3,2,2,2,2,0,1,3,2,2,4,1,5,4,6,4,1,1,3,6,2,3,2,1,5,4,1,2,2,0,1,4,3,2,1,1,1,1,4,3,1,1,5,2,2,1,0,1,0,1,6,5,2,3,2,4,2,3,2,4,3,0,1,2,5,1,1,2,0,0,2,2,1,2,4,0,1,1,1,1,4,5,0
adverb,2,3,2,2,2,0,1,1,1,2,0,2,1,3,2,1,2,3,2,3,2,1,1,3,2,0,2,5,1,2,2,0,0,2,0,0,1,1,2,2,0,0,3,0,1,1,0,3,2,1,6,2,2,2,1,1,1,2,6,0,0,1,0,1,0,1,1,3,2,1,2,2,3,1,2,2,0,1,0,5,2,5,3,0,1,3,2,6,0,1,1,1,2,2,3,3,0
article,6,1,2,2,5,6,3,2,2,4,2,3,1,1,4,6,5,4,1,1,4,3,3,3,5,2,7,6,5,2,1,3,0,2,1,4,2,1,5,1,2,3,3,0,2,2,5,1,3,1,2,3,1,4,1,2,2,3,2,2,1,9,2,2,1,7,3,7,3,6,3,3,2,5,2,3,2,2,2,3,2,4,3,2,2,3,3,2,3,1,3,2,2,3,2,2,0
conjunction,6,3,1,1,6,4,4,2,6,5,2,5,2,3,6,3,5,4,3,2,5,6,5,3,12,6,9,9,8,3,1,1,6,4,2,2,2,2,6,5,4,8,5,2,1,2,3,0,7,2,6,2,4,3,2,3,2,6,4,4,3,10,2,3,3,4,2,8,3,5,4,4,4,5,3,3,3,2,7,7,2,7,2,3,4,3,5,2,5,2,2,2,4,5,6,6,0
noun,10,2,3,3,13,8,9,4,8,13,3,18,1,11,9,6,4,8,2,5,7,4,5,5,19,8,14,10,15,5,3,3,7,3,2,3,3,1,9,5,8,11,10,3,1,7,6,8,14,10,7,7,8,6,5,4,4,10,6,8,6,9,7,7,3,11,8,16,7,9,7,5,7,14,5,7,6,7,11,9,3,18,7,7,6,7,9,3,8,4,4,2,2,6,14,8,0
