,,1,3,3,2,2,1,4,5,3,4,4,0,4,0,0,1,1,3,1,1,11,1,0,0,3,3,0,1,2,2,3,2,6,0,1,1,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
:,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
PRP$,2,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
adjective,4,1,2,0,2,2,4,3,2,5,0,0,8,1,0,2,2,6,3,1,10,4,3,3,1,0,1,3,3,5,8,2,7,0,3,3,0
adverb,1,0,1,4,2,0,1,1,4,0,1,1,5,1,0,2,2,1,2,1,3,0,0,0,3,0,0,1,0,2,0,1,8,0,0,2,0
article,2,7,4,4,5,1,7,2,2,2,2,0,4,3,1,2,3,4,2,4,4,4,8,2,1,2,2,2,3,6,9,3,5,1,1,3,0
conjunction,3,6,6,8,5,4,17,5,5,5,4,0,11,2,2,1,5,4,4,3,5,5,6,5,7,3,2,7,6,8,8,4,7,2,9,1,0
noun,5,23,5,8,7,3,21,8,9,13,7,3,13,4,1,3,4,8,6,4,8,2,10,11,9,8,5,10,6,17,13,8,9,4,8,3,0
numeral,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
other,2,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,2,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0
particle,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,1,0,2,4,2,4,1,1,1,1,0,1,2,0,1,2,2,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,3,2,0
verb,3,4,3,8,6,3,10,3,5,3,4,2,6,2,1,3,5,5,3,6,7,6,2,3,2,4,3,3,4,6,8,5,9,3,5,4,0
