,,4,0,3,1,3,3,0,1,0,0,2,0,0,0,1,2,1,2,2,0,0,0,2,0,1,0,0,5,1,0,1,0,2,1,2,0,2,1,0,1,2,5,1,3,6,2,2,2,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
:,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
PRP$,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,2,1,3,3,0,4,1,2,1,2,1,0,4,2,1,2,3,6,0,3,0,1,3,0,1,0,2,2,0,1,1,1,2,2,1,2,2,1,1,3,2,2,0,2,2,1,1,2,0
adverb,5,1,2,2,5,1,1,1,0,2,4,0,0,0,2,1,0,2,2,0,1,0,2,0,1,1,0,2,0,0,3,0,1,2,1,2,0,2,1,1,1,0,0,3,3,2,1,1,0
article,5,2,3,2,4,5,3,3,1,2,1,2,2,5,1,3,3,5,1,5,2,3,6,0,4,0,1,3,1,1,1,1,0,3,2,1,0,1,3,3,3,5,2,7,2,2,3,3,0
conjunction,8,1,8,4,6,5,4,3,1,4,1,1,1,9,3,9,7,6,1,7,3,2,8,2,2,1,0,4,0,4,3,1,2,4,3,1,0,5,4,3,1,5,4,9,10,4,4,4,0
noun,16,2,9,6,7,6,3,6,4,5,1,2,4,9,6,10,10,10,5,9,4,4,12,1,3,1,1,6,2,4,6,3,3,9,5,1,2,5,5,5,5,7,4,7,13,5,6,3,0
numeral,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
other,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,1,1,0,3,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,3,1,1,0,0,1,1,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,0,0,2,1,0,1,2,1,0,2,1,0,0,1,1,3,0,3,0,1,0,0,3,0,0,0,0,1,0,2,2,0,1,1,0,1,1,5,2,0,0,1,2,5,1,0,1,2,0
verb,3,2,4,4,2,5,3,2,1,5,2,2,1,6,2,12,2,6,4,1,3,3,5,1,2,0,1,4,2,4,6,0,2,3,2,2,2,5,2,1,2,6,3,7,2,7,3,4,0
