,,6,5,5,4,1,1,2,2,6,3,4,4,1,1,8,0,1,14,1,0,4,4,4,2,4,7,1,4,5,5,2,1,0
-LRB-,1,1,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
-RRB-,1,1,0,1,0,0,0,1,0,0,2,0,0,0,2,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
:,1,0,0,0,0,0,1,0,1,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PRP$,3,2,1,0,0,0,0,1,1,2,0,1,0,0,1,0,0,1,0,0,0,2,0,0,1,2,0,0,0,0,0,0,0
RBR,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
adjective,3,6,5,5,4,5,5,4,4,1,6,5,2,1,11,0,1,15,0,1,8,8,4,0,6,3,2,3,5,7,1,1,0
adverb,0,1,3,2,1,6,2,1,6,6,1,2,2,0,1,1,0,8,0,1,2,5,4,2,1,3,2,0,2,7,0,0,0
article,4,4,8,8,3,5,8,4,12,3,10,2,8,4,6,1,3,11,2,0,8,9,4,1,6,5,3,9,11,5,3,1,0
conjunction,4,10,12,8,6,6,8,4,13,8,10,4,7,3,14,0,4,16,0,1,5,13,5,0,6,15,3,10,9,10,3,4,0
noun,21,11,18,12,9,10,10,5,17,12,17,9,14,12,21,1,8,26,3,1,9,20,10,1,9,20,4,14,12,22,8,2,0
numeral,2,3,1,0,0,1,0,0,0,0,0,0,0,1,2,0,0,2,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0
other,0,1,0,1,2,5,0,0,1,0,3,2,0,0,0,0,0,2,2,1,2,2,5,0,2,0,1,1,0,1,1,2,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,0,2,1,1,1,2,3,1,3,2,0,1,2,0,1,0,1,3,0,1,0,2,0,0,1,1,2,0,2,4,0,5,0
verb,2,6,4,8,6,16,9,4,9,5,5,6,7,3,6,3,7,13,3,2,5,17,7,1,12,3,5,8,14,13,4,8,0
