,,0,1,1,1,3,4,1,3,1,3,0,1,0,3,1,1,3,1,0,1,0,0,2,1,1,2,5,1,3,4,1,4,2,0,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
:,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0
PRP$,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,2,1,1,0,1,0,1,4,0,1,1,0,1,1,1,0
RBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
adjective,0,1,1,0,0,1,4,4,1,6,0,0,2,2,1,4,1,3,0,2,4,2,3,3,4,4,5,2,3,8,3,5,1,0,0
adverb,0,2,0,0,2,5,1,2,1,0,0,1,2,0,3,0,0,0,0,2,0,0,0,0,1,1,2,1,1,2,1,2,2,0,0
article,0,0,2,0,3,9,0,3,2,4,1,3,2,3,6,3,0,1,0,2,3,4,4,3,5,2,8,1,3,9,2,9,5,2,0
conjunction,0,0,2,2,2,9,4,6,1,4,0,0,1,4,5,7,6,4,3,8,4,2,4,7,10,5,10,4,5,10,4,9,5,2,0
noun,2,2,9,1,5,17,8,10,3,10,1,4,4,10,12,10,9,2,4,8,5,6,9,10,20,13,19,5,10,16,5,13,6,6,0
numeral,0,0,1,4,1,0,0,0,0,0,0,0,0,2,2,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
other,0,0,0,0,1,4,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,1,3,0,1,1,1,0
particle,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
pronoun,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,2,1,3,1,0,1,0,2,0,1,0,0,2,0,1,4,1,0
verb,0,6,2,2,4,8,3,7,0,2,0,2,4,3,4,3,3,4,3,7,1,2,0,5,6,3,7,2,2,9,1,5,5,3,0
