,,2,3,0,1,2,0,0,0,5,0,1,4,0,1,2,3,4,3,0,0,0,2,0,3,1,1,3,0,5,2,1,3,2,2,1,0
-LRB-,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
:,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PRP$,0,0,0,2,1,1,1,1,0,0,1,0,1,0,0,2,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0
RBR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adjective,2,3,1,3,2,2,0,2,3,0,6,4,2,1,2,2,6,4,0,0,0,2,0,4,0,7,4,1,5,1,2,3,3,1,2,0
adverb,3,0,0,0,1,7,1,2,8,2,0,7,1,0,4,1,6,1,0,0,0,1,0,2,0,3,1,0,1,2,1,1,1,0,3,0
article,5,3,1,5,2,3,0,2,3,0,4,3,1,7,4,3,9,6,0,0,0,3,3,7,4,2,6,2,8,3,3,6,4,3,2,0
conjunction,4,2,0,7,2,5,0,3,6,2,8,6,0,5,3,8,12,7,0,0,0,5,2,6,4,10,7,3,6,2,3,11,4,4,1,0
noun,9,3,1,11,2,6,1,7,8,0,9,6,4,11,8,11,23,13,1,1,1,8,3,10,7,14,7,4,13,5,7,18,5,7,1,0
numeral,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
other,1,0,0,1,1,1,0,3,1,0,1,1,1,3,2,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,1,4,0,0,0,0
particle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
pronoun,0,3,1,1,3,4,1,1,2,2,3,3,1,2,1,1,2,2,0,0,0,2,1,1,0,5,1,1,1,0,1,1,0,1,0,0
verb,4,4,2,7,5,6,2,9,10,1,4,8,5,5,3,4,7,6,0,0,0,8,3,4,3,6,5,2,3,3,6,8,6,4,2,0
