,,3,4,2,6,2,7,1,0,4,1,4,4,0,0,0,0,0,1,2,1,0,0,1,1,1,2,3,0
-LRB-,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-RRB-,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
:,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
PRP$,1,1,0,0,1,2,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,2,2,0
adjective,5,6,7,7,0,7,2,3,2,3,4,2,1,1,1,0,0,1,3,5,1,2,1,4,1,2,2,0
adverb,0,4,3,1,1,6,0,0,5,3,4,2,1,2,0,0,2,1,0,0,1,3,3,1,1,5,1,0
article,2,7,6,11,4,13,1,6,0,4,4,3,2,0,2,0,0,6,1,1,1,5,4,3,6,6,1,0
conjunction,6,8,10,12,4,18,5,7,2,4,5,5,1,1,2,1,0,2,5,2,3,4,5,6,4,14,5,0
noun,15,16,14,19,10,21,2,12,5,3,8,8,3,3,3,1,3,9,8,7,2,11,7,7,8,10,7,0
numeral,1,0,1,2,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
other,2,1,1,1,1,6,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,1,0
particle,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pronoun,0,0,2,2,0,3,3,0,2,2,2,0,1,3,1,0,0,0,1,0,1,2,4,1,2,6,0,0
verb,3,5,8,11,4,16,3,4,3,5,5,5,5,4,4,2,1,3,5,2,2,6,5,8,6,11,4,0
