Adv,3,0,1,1,0,2,0,4,2,3,2,0,1,1,0,2,0,2,2,1,2,0
Art,6,1,0,1,3,1,2,4,1,2,1,1,0,1,7,0,0,1,2,1,0,0
Num,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0
Prep,9,0,4,1,3,0,1,3,3,1,1,3,1,1,9,3,1,0,1,1,2,0
Pron,7,0,1,2,1,1,1,3,4,3,1,2,6,3,2,3,0,4,1,0,3,0
Punc,2,4,2,1,2,2,1,4,1,1,0,0,3,0,5,2,0,1,0,0,1,0
adjective,5,2,1,1,1,0,1,1,1,2,1,0,1,0,1,2,0,2,2,1,1,0
conjunction,6,0,2,1,1,0,1,2,3,0,1,0,0,1,1,1,0,4,2,1,1,0
noun,17,9,7,2,7,1,7,10,4,6,1,5,1,3,17,4,1,5,5,4,3,0
verb,12,3,2,3,4,3,4,6,4,3,3,1,5,5,6,4,1,8,6,3,2,0
